"","sample","tissue","endometriosis","severity","p33307_at","p202937_x_at","RRP7A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.946043,6.546541,6.246292
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.01551,5.442479,5.7289945
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.593101,5.352272,5.4726865
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.610739,5.469861,5.5403
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.195746,7.339461,7.2676035
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.251826,7.203102,7.227464
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.018475,6.505112,6.2617935
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.200454,6.919593,7.0600235
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.517063,6.773499,6.645281
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.515606,6.656225,6.5859155
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.56743,6.057622,5.812526
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.618855,5.545965,5.58241
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.576012,6.586595,6.5813035
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.114965,6.969494,7.0422295
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.395822,6.341824,6.368823
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.587637,5.532434,5.5600355
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.303926,6.156859,6.2303925
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.929165,6.994193,6.961679
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.0875,3.740142,4.413821
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.360139,8.957299,9.158719
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.886312,9.515204,9.700758
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.092133,8.755489,8.923811
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.594623,7.87464,8.2346315
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.976531,9.709927,9.843229
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.794901,8.697184,8.7460425
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.055682,8.484624,8.770153
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.625579,10.180562,10.4030705
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.374555,8.398864,8.3867095
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.259309,8.181651,8.22048
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.80941,9.445146,9.627278
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.977555,9.599572,9.7885635
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.529623,7.427554,7.4785885
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.727571,9.466274,9.5969225
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.577778,9.140736,9.359257
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.520812,7.612757,7.5667845
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.929571,8.90733,8.9184505
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.202595,6.62694,6.4147675
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.990106,7.549916,7.770011
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.288485,8.864336,9.0764105
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.639781,7.09781,7.3687955
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.548133,7.784435,8.166284
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.766089,8.813394,8.7897415
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.605483,8.133264,8.3693735
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.163318,7.414128,7.788723
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.904048,8.443034,8.673541
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.550048,9.118547,9.3342975
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.815725,9.425765,9.620745
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.658554,7.109585,7.3840695
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.414958,8.658498,9.036728
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.726093,9.07174,9.3989165
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.570415,9.011504,9.2909595
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.332825,10.170005,10.251415
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.312779,8.669145,8.990962
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.302502,8.046336,8.174419
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.485454,8.193441,8.3394475
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.876979,6.867413,6.872196
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.520167,7.339461,7.429814
