"","sample","tissue","endometriosis","severity","p223574_x_at","p228010_at","PPP2R2C"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.44891,5.896894,5.672902
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.533166,7.38445,6.458808
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.712517,9.411656,7.5620865
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.054613,5.663559,4.859086
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.300211,8.427763,7.363987
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.391068,4.971495,4.6812815
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.260344,4.533395,4.8968695
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.033419,9.512972,8.2731955
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.276644,7.078877,5.6777605
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.241635,3.272701,3.257168
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.739855,10.22323,8.4815425
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.36243,8.574691,7.4685605
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.833639,4.31858,4.0761095
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.723087,10.883869,9.803478
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.482774,8.341496,7.412135
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.567764,4.404103,3.9859335
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.077354,5.02528,4.551317
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.61622,3.414979,3.5155995
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.325913,7.141105,6.233509
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.810301,5.704548,4.7574245
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.712517,7.860337,6.786427
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.095964,5.299805,4.6978845
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.632561,4.616227,4.624394
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.781269,4.721929,4.251599
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.090197,3.436836,4.2635165
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.871774,4.00957,4.940672
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.818616,7.491396,8.155006
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.437499,10.570833,9.504166
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.241635,4.243052,3.7423435
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.588446,8.483805,8.5361255
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.825931,9.053876,8.4399035
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.470467,8.014664,7.7425655
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.613868,8.465379,8.5396235
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.402071,6.119268,6.2606695
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.861274,7.241292,6.051283
