"","sample","tissue","endometriosis","severity","p219613_s_at","p233179_x_at","SIRT6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.098805,4.835273,4.967039
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.05925,5.47242,5.265835
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.602648,5.188423,5.3955355
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.84918,5.455144,5.152162
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.501148,4.835273,5.1682105
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.825275,5.696806,5.7610405
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.778228,5.624608,5.701418
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.938523,5.320204,5.1293635
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.124345,4.951385,5.037865
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.548723,4.835273,5.191998
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.895156,5.318712,5.606934
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.838692,5.188423,5.5135575
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.171276,5.188423,4.6798495
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.074174,4.660443,4.8673085
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.163182,4.936149,5.0496655
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.190117,5.250216,5.7201665
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.515727,4.835273,5.1755
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.940226,5.265436,5.602831
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.758531,4.668697,5.213614
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.299908,7.066923,7.1834155
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.699811,6.695771,6.697791
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.848107,6.179897,7.014002
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.817286,6.876309,7.3467975
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.862193,7.185867,8.02403
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.586741,6.721263,7.154002
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.059934,7.48349,7.771712
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.461089,6.874463,7.667776
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.271199,6.139859,6.705529
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.649527,6.068649,6.359088
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.02524,6.518045,7.2716425
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.668161,7.124724,7.8964425
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.2446,6.490895,6.8677475
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.738843,7.53231,8.6355765
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.72479,7.336875,8.0308325
