"","sample","tissue","endometriosis","severity","p1560031_at","p208476_s_at","p225168_at","p225163_at","FRMD4A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.255731,6.158069,8.635037,7.927412,7.49406225
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.238569,5.181396,7.723197,7.062329,6.30137275
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,3.345108,5.820977,3.54691,4.3222265
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.850478,6.003985,7.421772,7.138941,6.603794
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.306093,3.088664,6.491811,5.411461,5.07450725
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.84913,4.140133,7.682894,7.199674,6.21795775
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.648541,4.438437,7.461602,4.749114,5.3244235
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,3.1781,6.087912,4.8675,4.67735575
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.702285,3.979764,7.043658,6.665986,5.59792325
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.113331,4.216625,8.028858,6.23234,5.8977885
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,2.886115,5.141404,5.697852,4.5753205
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,3.112756,5.61134,4.008595,4.3271505
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.996729,5.797603,8.071546,4.763692,5.9073925
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.575911,3.701661,6.089519,4.962088,4.83229475
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.026361,3.245476,7.043865,7.317208,5.9082275
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.800776,4.294163,7.179842,5.935937,5.8026795
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.75292,4.079428,7.717655,7.03421,6.14605325
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.122063,4.198026,6.881105,5.977594,5.794697
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.356603,3.675908,7.468047,6.095862,5.649105
