"","sample","tissue","endometriosis","severity","p1553113_s_at","p1553112_s_at","p204831_at","CDK8"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.930304,4.599929,6.356321,5.96218466666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.029296,6.138777,5.338503,5.83552533333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.029296,5.615465,5.343271,5.66267733333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.698225,5.151613,5.8847,5.57817933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.270618,5.868722,5.679505,5.939615
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.97567,5.358749,6.509738,5.94805233333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.698225,5.016848,5.165764,5.29361233333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.396195,5.208001,6.000513,5.86823633333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.432342,5.495681,5.57808,5.83536766666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.657971,4.632383,6.215651,5.835335
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.184654,5.610912,6.318392,6.37131933333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.805125,5.568845,5.636875,6.003615
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.698225,5.580955,4.764346,5.347842
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.566836,5.323753,6.690578,6.19372233333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.555459,4.869781,5.360814,5.59535133333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.117089,5.700872,6.521619,6.44652666666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.029296,4.647208,6.210957,5.62915366666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.177567,4.592032,5.824651,5.53141666666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.876727,5.089861,6.221493,6.06269366666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.149098,2.895399,5.056673,4.36705666666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.698225,3.653947,5.762491,5.038221
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.888361,4.023934,5.483086,5.13179366666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.944267,3.136255,5.607028,4.56251666666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.250415,3.628241,4.443538,3.77406466666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.369455,3.716424,4.132145,4.07267466666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.479767,3.698207,3.298685,3.825553
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.159615,4.554936,2.978877,3.89780933333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.029296,3.945211,5.182516,5.052341
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.387016,3.427728,5.344496,4.38641333333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.885644,3.136255,4.474321,4.16540666666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.84733,3.274712,2.978877,3.70030633333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.606481,3.876393,5.833985,5.10561966666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.667515,3.444345,3.118985,3.07694833333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.629449,4.325491,3.823247,3.92606233333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.208371,4.281193,7.205294,6.23161933333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.468464,3.947567,4.490656,4.63556233333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.331443,2.917881,4.186682,3.812002
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.142076,3.169556,6.590892,5.30084133333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.953638,3.791592,5.00897,4.58473333333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.298523,3.427728,4.278777,3.66834266666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.319516,3.136255,5.607521,4.687764
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.787146,3.479564,4.532098,4.26626933333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.414675,3.563486,2.828628,3.26892966666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.337648,3.427728,5.57612,4.78049866666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.799767,3.350309,3.835301,3.99512566666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.869799,3.427728,5.523691,4.940406
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.213719,4.149032,2.978877,3.44720933333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.968781,3.274712,6.007007,4.75016666666667
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.521361,3.320191,4.942182,4.594578
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.557762,3.427728,2.978877,2.98812233333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.213719,3.935487,3.125695,3.424967
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.772779,3.71952,3.125695,3.205998
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.863256,3.364725,4.708011,4.31199733333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.395796,3.274712,4.414868,4.361792
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.949073,3.014547,6.218509,5.06070966666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.011287,3.809897,6.745734,5.522306
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.99332,3.73866,3.956856,4.229612
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.126648,4.320175,6.285992,5.577605
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.680097,4.196206,6.788834,5.888379
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.002026,3.437275,6.228636,5.22264566666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.456712,3.427728,4.918953,4.26779766666667
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.407589,4.699263,6.197825,5.76822566666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.032328,3.173262,6.361099,5.18889633333333
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.170383,4.022289,6.633938,5.60887
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.686281,4.002343,7.062205,5.916943
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.131549,3.428185,5.345434,4.635056
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.75043,4.203673,5.471408,5.141837
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.572525,4.536558,7.535232,6.548105
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.278625,5.511444,7.076281,6.62211666666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.450934,4.903794,7.320912,6.55854666666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.793567,6.132088,7.698783,7.208146
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.948779,5.419203,7.616507,6.99482966666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.263031,4.969529,7.383915,6.538825
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.451772,5.187755,7.487235,6.70892066666667
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.417597,5.544417,7.500042,6.82068533333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.42528,5.02279,7.589677,6.679249
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.387963,5.759583,7.337768,6.828438
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.257745,5.598054,7.306326,6.72070833333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.694971,5.916287,7.400269,7.00384233333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.65399,2.994762,7.062126,5.57029266666667
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.663758,5.700644,7.377901,6.914101
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.643976,5.08159,7.110193,6.61191966666667
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.427728,5.577974,4.901309
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.768403,5.012873,7.121921,6.30106566666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.588181,4.004461,6.359293,5.650645
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.39737,5.653946,4.91651366666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.654591,3.427728,5.043879,4.37539933333333
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.973089,3.303265,5.196568,4.490974
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.029296,4.365694,6.386639,5.59387633333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.623628,4.369929,4.588065,4.86054066666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869799,3.989824,6.094221,5.317948
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.52597,3.222597,5.117861,4.28880933333333
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.427728,5.419041,4.84833133333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869799,4.131169,6.223715,5.40822766666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.417959,3.274712,5.200182,4.630951
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869799,3.669171,5.89788,5.14561666666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.574704,3.136255,5.356702,4.68922033333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.31272,2.787262,4.040829,3.71360366666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.530834,3.274712,5.686209,4.16391833333333
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.065165,2.936931,5.111535,4.037877
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.281484,3.190698,5.718869,5.06368366666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.448031,3.429801,6.506941,5.461591
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.274712,6.020413,4.99778333333333
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.00403,3.476275,4.627333,4.36921266666667
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.72121,3.427728,6.686483,5.27847366666667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.655935,5.800256,5.051472
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.698225,3.459759,5.520517,4.89283366666667
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.799679,2.628208,5.466195,4.29802733333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.699143,3.189795,6.185268,5.02473533333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.869799,4.119942,5.183185,5.057642
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.389969,3.427728,4.771957,4.52988466666667
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.029296,3.431214,5.589452,5.016654
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.198412,3.642034,6.31067,5.38370533333333
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.588603,4.987896,6.398658,5.991719
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.757709,5.503924,6.282552,6.181395
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.367618,5.079493,6.137324,5.86147833333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.202681,5.504905,5.604852,5.77081266666667
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.528877,5.890156,5.602674,6.00723566666667
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.869799,4.167081,5.539871,5.19225033333333
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.774452,5.017944,5.404705,5.732367
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.009231,3.564627,8.048118,6.54065866666667
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.114432,3.184934,7.101828,5.800398
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",7.013143,3.974872,7.07135,6.01978833333333
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.02603,4.277948,7.77884,6.69427266666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.274887,4.038219,7.234641,6.18258233333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.234519,4.266012,7.372501,6.29101066666667
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.465612,4.079941,7.776902,6.44081833333333
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.231807,4.646421,7.377955,6.41872766666667
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.167017,3.813192,7.25482,6.078343
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.068229,3.545871,6.919712,5.844604
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.24962,3.364365,7.609832,6.07460566666667
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.325257,5.15194,7.456666,6.644621
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.970548,3.609179,7.185523,5.92175
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.003732,3.687813,6.978783,5.89010933333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.381491,4.525351,6.97943,6.295424
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.242364,3.832874,7.371793,6.14901033333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.379035,4.332053,7.460961,6.390683
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.643389,3.288057,6.789758,5.57373466666667
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.888382,4.703362,6.980928,6.19089066666667
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.284515,3.559306,7.330721,6.05818066666667
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.823219,4.019521,7.071662,5.97146733333333
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.195298,3.845083,7.562451,6.200944
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.535825,4.111996,7.854802,6.50087433333333
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.762968,4.175569,7.04248,5.99367233333333
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.190046,3.628574,6.804729,5.54111633333333
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.173615,4.159101,7.090916,6.14121066666667
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.991762,3.915263,7.308636,6.071887
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.151826,3.743166,7.203278,6.03275666666667
