"","sample","tissue","endometriosis","severity","p207122_x_at","p211385_x_at","SULT1A2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.955381,7.630132,7.7927565
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.922477,7.28672,7.1045985
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.360963,7.2690385
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.101718,7.139416
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.651622,7.630132,7.640877
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.355776,7.266445
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.118757,7.440519,7.779638
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.366202,7.245992,7.306097
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.583513,7.3803135
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.651622,7.630132,7.640877
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.323417,7.542501,7.432959
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.237963,7.630132,7.4340475
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.758241,6.848839,6.80354
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.651622,7.630132,7.640877
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.815274,7.355776,7.085525
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177114,7.355776,7.266445
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.001111,7.220731,7.110921
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.946521,7.319625,7.133073
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.166276,6.090496,6.128386
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.558387,7.68816,7.6232735
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.23245,8.411959,8.3222045
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.716145,7.673543,7.694844
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.375797,8.434821,8.405309
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.118647,7.926576,8.0226115
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.928995,8.190157,8.059576
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.297043,9.108912,9.2029775
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.244332,9.711843,9.4780875
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.718482,8.674306,8.696394
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.046665,8.996358,9.0215115
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.457398,9.384208,9.420803
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.020307,9.243109,9.131708
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.910049,8.831325,8.870687
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.615433,9.423359,9.519396
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.665143,8.703597,8.68437
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.124801,7.357118,7.2409595
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.994703,7.68816,7.8414315
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.753868,8.749547,8.7517075
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.956848,7.121697,7.0392725
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.640621,8.49228,8.5664505
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.34041,8.204113,8.2722615
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.642588,8.49894,8.570764
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.286813,8.183286,8.2350495
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.47933,8.813095,8.6462125
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.672692,7.68816,7.680426
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.227132,7.855908,8.04152
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.638437,8.790779,8.714608
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.762614,9.704543,9.7335785
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.251472,8.133468,8.19247
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.015145,7.958484,7.9868145
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.358827,8.016847,8.187837
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.667639,8.759569,8.713604
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.476496,8.201214,8.338855
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.99373,8.879448,8.936589
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.651544,8.967944,8.809744
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.723245,8.582108,8.6526765
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.508718,7.403077,7.4558975
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.51954,8.72282,8.62118
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.259891,7.308124,7.2840075
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.503539,7.355776,7.4296575
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.89833,7.68816,7.793245
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.089467,8.101546,8.0955065
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.958146,7.269382,7.113764
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.16415,7.355776,7.259963
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.530932,7.630132,7.580532
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.189854,7.355776,7.272815
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.463183,8.603382,8.5332825
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.895456,7.630132,7.762794
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.960339,7.649998,7.8051685
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.651622,7.482809,7.5672155
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.817566,7.746037,7.7818015
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.845673,6.940817,6.893245
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.120574,7.065162,7.092868
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.550937,7.630132,7.5905345
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.400915,7.355776,7.3783455
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.120291,7.060339,7.090315
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.177114,7.265068,7.221091
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.270618,7.477809,7.3742135
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.972819,7.122909,7.047864
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.155906,7.185046,7.170476
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.3985,7.378766,7.388633
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.79076,7.792594,7.791677
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.198711,7.392538,7.2956245
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.651622,7.681443,7.6665325
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.020639,7.0566,7.0386195
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.329709,8.289016,8.3093625
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.9732,7.68816,7.83068
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.83274,8.79839,8.815565
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.729664,7.808133,7.7688985
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.370211,8.3704,8.3703055
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.007576,8.969501,8.9885385
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.654768,7.630132,7.64245
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.088071,8.950208,9.0191395
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.23006,8.168465,8.1992625
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,7.387291,7.2822025
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.651622,7.630132,7.640877
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.65625,7.68816,7.672205
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.484493,7.630132,7.5573125
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.642759,7.460998,7.5518785
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.450988,8.366401,8.4086945
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.184558,8.051568,8.118063
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.614807,8.6657,8.6402535
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.006208,8.050676,8.028442
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,7.355776,7.266445
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.977952,9.038549,9.0082505
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.531867,7.605657,7.568762
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.177114,7.355776,7.266445
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.723283,8.699714,8.7114985
