"","sample","tissue","endometriosis","severity","p208290_s_at","p208708_x_at","p208706_s_at","EIF5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.505617,11.184314,11.633835,10.7745886666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.812131,11.278062,11.352669,10.8142873333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.420591,8.963347,10.106886,8.83027466666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.818126,11.228193,11.293925,10.7800813333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.865179,10.71858,10.995626,10.5264616666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.87508,11.294793,11.111654,10.760509
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.820701,10.711774,11.267582,10.2666856666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.472295,10.213431,10.597682,9.761136
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.387376,10.957472,11.446605,10.597151
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.337446,10.825797,10.432811,10.1986846666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.436168,10.277661,10.566524,10.093451
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.048946,9.606236,10.280775,9.31198566666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.661368,10.359514,10.380256,9.80037933333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.931008,10.642184,10.653192,10.0754613333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.38038,10.598575,11.119003,10.365986
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.943886,11.376257,11.509176,10.9431063333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.133699,11.330419,11.614747,11.0262883333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.997146,11.140823,11.241259,10.793076
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.710089,11.479194,11.498616,10.8959663333333
