"","sample","tissue","endometriosis","severity","p213154_s_at","p212702_s_at","BICD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.366303,6.180306,7.7733045
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.089153,5.868837,6.478995
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.454365,6.462374,6.9583695
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.668771,6.009731,7.339251
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.73123,6.099355,7.4152925
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.799031,6.43573,7.6173805
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.666937,6.118303,6.89262
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.141634,5.843687,6.9926605
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.363571,5.86877,7.1161705
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.823127,5.994084,7.4086055
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.095251,5.086593,6.590922
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.346057,5.894716,7.1203865
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.27778,4.633709,6.4557445
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.020647,6.621862,7.8212545
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.02402,6.751571,7.8877955
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.869555,6.359375,7.614465
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.205344,6.559174,7.882259
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.632027,6.320442,7.4762345
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.109657,6.143693,7.626675
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.687,5.840084,7.263542
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.23802,5.591134,6.914577
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.639295,5.647089,7.143192
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.848963,4.760267,6.804615
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.197533,5.486685,6.842109
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.015989,4.150987,5.583488
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.653131,3.245352,4.9492415
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.289713,4.601341,5.445527
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.181224,4.775763,6.4784935
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.050836,4.469375,6.2601055
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.655183,4.21648,5.4358315
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.007117,4.025017,5.516067
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.186469,4.605164,6.3958165
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.515316,3.26832,4.891818
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.703893,4.051248,5.3775705
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.556127,7.069301,8.312714
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.884301,6.379914,7.6321075
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.468223,4.280539,5.874381
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.925681,6.25513,7.5904055
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.097861,3.855766,5.9768135
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.800199,4.280539,6.040369
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.17222,4.942578,6.557399
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.126877,5.003745,6.565311
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.258815,5.034283,6.646549
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.637134,4.730288,6.683711
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.135772,4.469375,6.3025735
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.303534,4.799748,6.551641
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.122986,4.357989,5.7404875
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.08604,3.194158,5.140099
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.026456,4.469375,6.2479155
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.984353,4.280539,5.632446
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.828497,4.469375,5.648936
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.835656,4.843961,6.3398085
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.613425,3.839964,5.7266945
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.833649,4.469375,6.151512
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.148159,4.968567,6.558363
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.318197,6.645375,7.981786
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.156644,4.575058,6.365851
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.581663,6.97779,8.2797265
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.391123,6.908021,8.149572
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.046111,4.985581,6.515846
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.371761,5.48694,6.9293505
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.367019,6.917262,8.1421405
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.464566,6.819612,8.142089
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.591838,6.607263,8.0995505
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.15017,6.40196,7.776065
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.33485,5.497853,6.9163515
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.06291,6.1953,7.629105
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.713388,7.700968,8.707178
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.563598,7.668966,8.616282
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.517941,7.560382,8.5391615
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.847549,7.949255,8.898402
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.843406,7.269903,8.5566545
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.729987,7.867018,8.7985025
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.413329,7.696997,8.555163
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.660468,7.63058,8.645524
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.850191,7.993465,8.921828
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.624585,7.301267,8.462926
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.877695,8.17609,9.0268925
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.42953,7.35051,8.39002
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.61535,7.25204,8.433695
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.257254,7.624409,8.4408315
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.54558,7.792153,8.6688665
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.148159,7.538582,8.8433705
