"","sample","tissue","endometriosis","severity","p225994_at","p233208_x_at","CPSF2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.49411,3.119956,4.807033
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.361933,4.682698,5.5223155
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.885314,2.726284,4.305799
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.479406,2.472395,3.9759005
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.353534,4.226323,5.7899285
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.925343,2.821265,4.373304
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.51121,2.361176,3.436193
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.367925,2.920414,4.6441695
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.772731,3.383373,4.578052
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.078112,3.856825,5.4674685
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.612974,4.217339,5.9151565
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.134995,4.079688,5.6073415
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.479406,2.472395,3.9759005
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.932202,4.205855,5.5690285
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651817,3.32451,4.9881635
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.472919,3.278538,4.8757285
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.811487,2.544543,4.178015
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.175511,4.056082,5.6157965
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.137828,3.992861,5.5653445
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.795915,2.236067,3.515991
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.495527,2.236067,3.865797
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.479406,2.236067,3.8577365
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.946026,2.394844,4.170435
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.641915,2.236067,3.938991
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.49905,2.236067,3.3675585
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.428718,2.236067,2.8323925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.479406,2.236067,3.8577365
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.946026,2.394844,4.170435
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.4348,2.236067,3.8354335
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.487712,2.236067,3.8618895
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.479406,2.406703,3.9430545
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.037831,2.236067,4.136949
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.625421,2.236067,3.430744
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.700512,2.236067,2.9682895
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.451835,3.395167,5.423501
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.419464,2.394844,3.907154
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.880627,2.236067,3.558347
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.471532,2.36431,4.417921
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.392869,2.236067,3.814468
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.820885,2.361176,3.0910305
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.248007,2.236067,4.242037
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.488795,2.236067,3.362431
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.820885,2.236067,3.028476
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.946026,2.271285,4.1086555
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.968761,2.236067,3.602414
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.152574,2.236067,4.1943205
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.820885,2.236067,3.028476
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.986696,2.236067,4.1113815
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.400888,2.236067,3.3184775
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.990872,2.236067,3.6134695
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.814529,2.236067,3.525298
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.64658,2.269883,3.4582315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.140154,2.236067,3.6881105
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.790415,2.236067,4.013241
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.005036,2.361176,4.183106
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.840774,2.361176,4.600975
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.369721,2.236067,3.802894
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.300519,2.472524,4.3865215
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.825071,4.431764,6.1284175
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.812476,2.424942,4.118709
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.565443,2.496167,4.030805
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.179356,2.394844,4.7871
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.110762,2.453694,4.282228
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.861949,2.562614,4.7122815
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.289274,3.09544,5.192357
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.479406,2.236067,3.8577365
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.091455,2.394844,4.2431495
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.928134,4.819957,6.8740455
