"","sample","tissue","endometriosis","severity","p217824_at","p217823_s_at","p217825_s_at","p217826_s_at","UBE2J1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.703588,9.009339,6.719186,7.736095,7.542052
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.711871,8.258439,6.503428,8.274049,7.43694675
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.132537,8.841574,6.156183,7.769931,7.47505625
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.276735,8.719699,6.699249,7.862713,7.639599
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.738526,8.948693,6.890848,9.229263,7.9518325
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.952519,9.087157,7.067762,7.952835,7.76506825
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.928006,8.471984,6.959243,7.566209,7.4813605
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.300918,8.562491,6.268029,7.442376,7.1434535
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.872075,8.599972,7.132415,7.961366,7.641457
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.151186,8.852363,7.105494,8.497791,7.9017085
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.925928,8.912801,7.139652,8.704503,7.920721
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.734601,8.8224,6.375614,8.228751,7.5403415
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.276735,8.673056,7.032627,7.528298,7.627679
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.519621,9.575434,5.395415,8.472834,7.490826
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.140554,9.194657,7.085555,8.544588,7.9913385
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.984818,9.263918,6.815666,8.666308,7.9326775
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.276735,9.360889,7.405898,8.358188,8.1004275
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.609699,9.446003,7.362042,9.024865,8.36065225
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.103483,9.687925,6.512105,8.660488,7.99100025
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.129014,7.918518,5.350702,6.930869,6.83227575
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.951953,7.727904,6.265205,6.480324,6.8563465
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.860773,8.247503,6.053394,7.228868,7.0976345
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.361533,6.939754,6.14804,8.246716,7.17401075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.056141,7.724921,6.112583,6.640755,6.8836
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.18643,6.807456,4.274353,6.354266,5.90562625
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.281033,5.258362,3.447647,5.389445,5.09412175
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.588733,5.938304,3.629558,5.951063,5.5269145
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.169231,8.105145,6.558076,7.663794,7.3740615
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.904177,6.863393,5.805039,5.853331,6.356485
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.18643,6.076154,3.528084,5.639814,5.3576205
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.634458,6.280836,4.284114,5.633591,5.70824975
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.498013,7.331563,5.567965,6.838702,6.55906075
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.988005,5.105328,3.779459,6.384215,5.31425175
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.626855,6.042901,3.548475,5.651504,5.21743375
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.822902,8.683528,7.404959,8.259206,8.04264875
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.066317,7.597988,5.257669,7.521075,6.86076225
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.445111,6.515251,4.070093,6.814603,5.9612645
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.787004,8.09268,6.762353,7.720807,7.590711
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.584838,6.673076,4.774621,5.500312,5.88321175
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.322523,6.065067,4.612709,7.146706,6.28675125
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.12968,7.33301,6.020268,6.439495,6.98061325
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.641925,7.003012,4.77256,6.379212,6.19917725
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.593426,5.910999,4.365821,5.916118,5.696591
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.428884,8.084383,6.566539,7.450812,7.3826545
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.383421,7.39249,5.288728,6.901893,6.491633
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.808095,7.702277,5.546055,6.775488,6.70797875
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.402383,6.010812,4.441645,6.097301,5.73803525
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.381554,7.687625,4.935279,7.518883,6.88083525
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.594202,6.859629,3.88546,6.681483,6.0051935
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.630418,5.364646,3.88546,6.246215,5.53168475
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.18643,6.335814,3.687335,5.580431,5.4475025
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.18643,7.264488,4.788657,5.853823,6.0233495
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.399025,6.537031,3.95615,5.726071,5.65456925
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.406741,7.545432,5.631876,6.784936,6.59224625
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.104352,7.931136,6.084443,6.920819,7.0101875
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.84182,8.423297,6.298743,6.821389,7.34631225
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.415583,7.538714,5.813762,6.82506,6.89827975
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.154852,8.832001,7.171475,8.307219,8.11638675
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.825779,9.216542,7.626456,8.844054,8.37820775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.113343,8.063064,6.474323,6.970607,7.15533425
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.133155,7.931834,5.900013,7.738436,7.1758595
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.725774,8.750016,7.293951,8.069041,7.9596955
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.738837,8.767833,6.760378,8.195296,7.865586
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.276735,7.878763,6.361588,7.586146,7.275808
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.48562,8.604096,7.224821,7.959163,7.818425
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.508811,7.992134,6.132973,7.207564,6.9603705
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.909375,8.092884,6.421014,7.538351,7.240406
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.814397,9.537066,7.155511,8.700905,8.30196975
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.982785,9.156904,7.557554,8.816485,8.378432
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.096268,9.534062,7.604128,8.689996,8.4811135
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.016032,9.37566,7.700428,9.064133,8.53906325
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.266797,9.136772,7.713358,8.492007,8.4022335
