"","sample","tissue","endometriosis","severity","p226768_at","p236447_at","GIGYF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.859342,3.661931,4.7606365
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.02976,4.963211,5.9964855
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.435014,4.781947,5.6084805
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.869717,5.065504,5.9676105
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.12932,4.597755,5.3635375
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.482413,4.818668,5.6505405
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.414045,5.112021,6.263033
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.414384,4.342775,5.3785795
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.312568,4.085314,5.198941
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.821291,4.742297,5.281794
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.570053,5.037192,5.3036225
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.502369,3.712022,5.1071955
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.932737,4.754895,5.843816
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.605093,4.827715,5.216404
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.608619,4.087756,4.8481875
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.015913,3.912508,4.9642105
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.345224,4.288048,5.316636
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59434,3.661931,4.6281355
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59434,3.661931,4.6281355
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.720884,3.661931,5.6914075
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.039177,3.757155,5.398166
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.381402,4.236106,5.808754
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.089856,4.085797,6.0878265
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.656894,4.703243,6.6800685
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.541127,3.885157,6.213142
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.287118,5.21967,6.753394
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.103128,5.528704,6.815916
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.617487,3.661931,5.639709
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.351076,3.661931,6.0065035
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.206271,4.943577,6.574924
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.313118,4.430476,6.371797
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.722733,4.069617,5.896175
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.223233,3.808445,6.515839
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.11816,5.178768,6.648464
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.703761,3.43131,4.0675355
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.352596,4.530211,5.4414035
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.719166,4.756847,6.2380065
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.790147,3.548142,5.1691445
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.76009,4.309192,6.034641
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.861434,4.909263,6.8853485
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.356012,3.661931,5.5089715
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.901475,5.188264,7.0448695
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.754041,4.86563,6.3098355
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.392097,3.996516,5.6943065
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.186831,3.876907,6.031869
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.691534,3.661931,5.6767325
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.326655,4.584225,6.45544
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.824151,4.270288,6.0472195
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.888543,4.144784,6.0166635
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.649466,4.563337,6.1064015
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.263854,5.524215,6.8940345
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.060666,5.265161,6.6629135
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.686583,4.097658,5.8921205
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.506715,4.792081,6.149398
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.004858,3.844311,5.4245845
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.226716,3.661931,4.9443235
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.391126,4.52275,6.456938
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.382286,3.596759,5.4895225
