"","sample","tissue","endometriosis","severity","p201963_at","p207275_s_at","ACSL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.626461,7.376399,9.00143
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.240233,6.492763,7.366498
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.025126,5.861242,6.943184
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.643125,7.668276,8.6557005
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.467699,6.728532,8.0981155
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.025093,8.28422,9.6546565
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.487807,7.239934,8.3638705
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.372721,6.076001,7.224361
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.135243,6.651424,7.8933335
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.521752,7.564524,9.043138
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.01168,6.42152,7.7166
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.388208,6.56558,7.976894
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.828469,6.743998,8.2862335
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.709227,6.775024,8.2421255
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.524503,7.077544,8.3010235
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.058593,7.419931,8.739262
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.447707,8.128702,9.2882045
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.164056,9.196229,10.6801425
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.766961,7.716962,9.2419615
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.206489,5.047969,6.627229
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.423792,4.809631,6.6167115
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.10954,5.559454,7.334497
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.532672,3.827128,6.1799
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.209267,6.535828,7.8725475
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.666699,4.690871,6.178785
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.572226,2.236067,4.4041465
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.096923,2.461741,4.779332
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.978582,4.799779,6.3891805
