"","sample","tissue","endometriosis","severity","p204315_s_at","p204318_s_at","p215942_s_at","GTSE1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,6.036865,5.532229,4.92399566666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.865036,7.148915,7.300834,6.10492833333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.542422,4.187735,3.64435
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.214733,3.719593,3.379073
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,7.400884,7.052777,5.885518
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.42517,2.895296,3.174453
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.926157,4.137294,3.755448
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,5.659509,5.850588,4.90433
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,6.801429,6.307527,5.437283
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,4.087941,3.624958,3.63859733333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,6.402985,5.503119,5.03633233333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,5.900795,5.38291,4.828866
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.42517,4.759949,3.796004
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,8.25874,7.932719,6.464784
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.488031,7.726876,7.364043,6.19298333333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.926157,3.965255,3.69810166666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.42517,3.227845,3.28530266666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.42517,3.925229,3.517764
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,3.926157,3.669578,3.59954266666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.235849,5.159513,4.323685,5.23968233333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.884546,7.977586,6.863898,7.90867666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.540118,6.793298,5.702665,6.34536033333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.501971,6.268372,3.719593,5.49664533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.202893,5.354958,4.283683,4.28051133333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.654458,6.428844,4.750747,5.944683
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.273778,7.952939,6.17882,7.46851233333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.131225,7.253572,5.380611,6.92180266666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.040057,8.342747,7.387536,8.25678
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.105714,5.240865,3.894809,5.08046266666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.188319,8.539406,6.75056,7.826095
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.966175,7.108146,5.83049,6.634937
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.343205,8.893783,7.978849,8.73861233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.370842,5.548814,5.116859,6.01217166666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.074344,8.254133,7.132773,8.15375
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.706601,5.625425,4.930112,4.754046
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.871295,5.737078,4.913698,5.17402366666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.830031,7.97797,6.063621,7.95720733333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.410858,5.428992,3.963329,4.934393
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.761647,7.755728,6.063833,7.86040266666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.395972,5.509775,3.954775,4.620174
