"","sample","tissue","endometriosis","severity","p217792_at","p222417_s_at","p229980_s_at","SNX5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.438252,10.007643,11.877929,10.774608
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.472547,10.379255,11.556191,10.8026643333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4107,9.204569,10.716077,10.1104486666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.076902,8.508817,10.165348,9.25035566666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.278494,9.985248,11.757502,10.673748
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.432956,8.757766,10.497877,9.56286633333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.931628,8.127642,9.729435,8.92956833333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.038416,9.452893,10.828079,10.1064626666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.399027,9.989932,11.232957,10.5406386666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.5552,9.741017,11.161859,10.152692
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.039703,10.177894,11.955757,10.7244513333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.200669,10.195864,11.670729,10.6890873333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.893111,8.192752,10.241748,9.10920366666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.561614,9.534856,11.360386,10.4856186666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.266227,9.737638,11.554623,10.519496
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.432487,8.93757,10.862838,9.74429833333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.317826,8.564417,10.581607,9.48795
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.203774,8.617515,10.492544,9.43794433333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.333505,8.694374,10.797945,9.608608
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.502893,6.787426,8.920747,7.737022
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.564346,8.181773,10.270122,9.00541366666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.714624,7.378923,9.29579,8.129779
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.349527,6.201928,9.16782,7.57309166666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.705657,6.716534,8.741937,7.721376
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.229644,5.703793,8.228618,7.05401833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.632119,5.854105,9.054063,7.513429
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.083694,4.147663,8.470764,6.56737366666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.221022,7.382248,9.532187,8.37848566666667
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.649941,5.919363,8.12279,7.230698
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.476462,5.435384,8.213477,7.04177433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.507255,5.855752,8.367459,7.576822
