"","sample","tissue","endometriosis","severity","p227419_x_at","p230246_at","PLAC9"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.568256,3.097946,4.833101
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.587361,3.092686,4.8400235
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.229953,3.097946,4.1639495
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.466707,3.097946,4.2823265
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.099217,3.865418,5.4823175
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.497555,3.097946,5.2977505
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8087,4.066653,4.9376765
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.938678,3.077028,4.507853
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.421678,2.91227,4.666974
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.118821,3.576006,4.8474135
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.152406,3.039949,4.0961775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.152406,2.91227,4.032338
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.871143,3.097946,4.9845445
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.229953,2.91227,4.0711115
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.465647,3.097946,4.7817965
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.507076,2.94654,4.726808
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.605047,3.097946,4.8514965
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.369855,3.097946,4.7339005
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.914335,3.097946,5.0061405
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.634745,4.407869,7.021307
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.585463,3.097946,5.3417045
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.081374,4.642154,7.361764
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.229953,3.097946,4.1639495
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.459069,5.309997,7.884533
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.460197,5.305337,7.882767
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.378692,4.103164,7.240928
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.03213,4.753598,7.892864
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.44302,3.097946,5.270483
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.433493,3.465034,6.4492635
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.773806,3.712645,6.2432255
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.717853,3.396695,5.057274
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.67036,3.097946,5.384153
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.196398,4.572492,6.884445
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.144529,4.993157,7.568843
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.510469,3.667185,7.088827
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.366164,5.310465,7.8383145
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.857323,4.300116,7.0787195
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.257016,3.097946,6.177481
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.640239,4.044984,7.3426115
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.601615,4.962732,7.7821735
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.642198,3.53057,6.586384
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.817085,3.097946,4.9575155
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.542988,5.436291,8.4896395
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.82043,3.898986,6.859708
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.130504,4.833562,7.482033
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.739493,4.076309,7.407901
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.348324,4.150011,6.7491675
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.107252,2.968365,4.5378085
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.534354,5.23113,7.882742
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.047699,5.44574,8.2467195
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.622955,4.849239,7.736097
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.766361,5.798039,8.7822
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.43541,4.842205,7.6388075
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.111589,3.060676,4.5861325
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.146738,3.097946,5.622342
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.484787,3.053161,6.268974
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.720671,5.711891,8.216281
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.214279,3.358551,6.286415
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.134766,3.463643,6.2992045
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.703043,4.605687,7.154365
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.01254,3.687964,6.350252
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.292825,3.237355,6.26509
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.022616,3.097946,6.060281
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.666257,2.91227,4.7892635
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.949688,3.058623,5.0041555
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.283792,3.097946,5.690869
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.844805,4.7099,6.7773525
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.177678,3.011764,5.094721
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.229589,2.968365,5.598977
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.62833,2.659846,4.644088
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.131893,2.91227,4.0220815
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.954639,2.968365,4.961502
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.42346,2.91227,5.167865
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.438706,2.91227,5.175488
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.940063,3.097946,5.0190045
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.185971,3.072548,5.6292595
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.632993,2.91227,4.7726315
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.624808,3.542686,6.083747
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.822289,2.91227,4.8672795
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.155366,3.178166,5.666766
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.199746,2.91227,5.056008
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.501789,2.91227,5.2070295
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.77525,3.796061,6.7856555
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.257955,3.069131,5.663543
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.682562,3.22091,6.451736
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.338148,5.701369,8.0197585
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.900699,4.789087,7.344893
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.33303,4.821407,7.5772185
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.29987,3.097946,5.698908
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.287652,4.289105,6.7883785
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.253256,3.097946,5.675601
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.467486,3.097946,5.282716
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.519764,3.097946,4.808855
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.13469,4.214066,7.174378
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.062562,5.138929,8.1007455
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.253826,3.097946,4.675886
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.401907,3.919336,7.1606215
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.407486,3.773367,6.0904265
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.275224,3.513255,6.3942395
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.490891,3.097946,5.7944185
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.348221,3.255419,5.80182
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.88807,2.91227,4.90017
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.345424,3.617347,6.4813855
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.783381,4.930136,7.3567585
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",10.684181,3.965153,7.324667
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.406321,3.505208,6.4557645
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.297049,3.211891,5.75447
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.521425,3.041887,3.781656
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.717032,3.097946,5.407489
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.933269,3.229487,4.581378
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.516822,3.33763,5.927226
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.316457,3.929403,6.62293
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.904701,2.917575,4.911138
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.990349,3.097946,4.5441475
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.647181,3.097946,4.3725635
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.649624,3.097946,5.373785
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.081639,3.097946,4.5897925
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.165354,3.016059,4.0907065
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.7816,3.502139,4.6418695
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.255482,3.106795,5.1811385
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",8.295377,2.937332,5.6163545
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.232583,2.91227,5.0724265
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",5.229953,2.91227,4.0711115
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.568178,2.91227,4.740224
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.131736,2.91227,4.522003
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.759547,2.949079,5.354313
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.503713,2.91227,3.7079915
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.610694,2.91227,5.261482
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.828076,3.020321,4.9241985
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.048443,2.91227,4.4803565
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.689361,2.91227,3.8008155
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.660667,2.91227,4.2864685
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.410768,2.32304,4.366904
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.845337,2.91227,4.3788035
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.200062,3.097946,5.649004
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.473268,2.91227,4.192769
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.438706,3.026965,5.2328355
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.325249,2.91227,4.6187595
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.13926,2.968365,4.5538125
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.470137,2.91227,4.1912035
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.316788,2.91227,4.114529
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.516103,2.968365,4.742234
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.152406,2.91227,4.032338
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.185369,2.91227,4.0488195
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.229953,2.776131,4.003042
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.769067,2.91227,4.8406685
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.041539,2.91227,4.4769045
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.838139,2.91227,4.3752045
