"","sample","tissue","endometriosis","severity","p223477_s_at","p223476_s_at","C12orf65"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.287761,5.034891,6.161326
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.792907,5.035001,5.913954
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.020284,3.373885,4.6970845
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.178882,4.981276,5.580079
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.070681,4.913454,5.9920675
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.424793,4.025127,5.22496
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.377345,3.976452,5.1768985
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.915603,4.981276,5.4484395
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.070507,5.035001,6.052754
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.574482,3.575985,5.0752335
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.558847,3.608177,5.083512
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.929955,4.276031,5.102993
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.139449,4.472255,5.805852
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.76542,4.07701,5.421215
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.716999,4.981276,5.8491375
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.571011,3.49682,5.0339155
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.960219,3.895244,4.9277315
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.243944,3.873715,4.5588295
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.260812,3.641771,4.9512915
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.841625,5.455931,5.648778
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.631359,5.914173,6.272766
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.254269,5.035001,5.644635
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.946572,5.035001,5.4907865
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.135325,4.981276,5.5583005
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.132911,4.981276,5.0570935
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.566429,3.991942,4.7791855
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.144568,4.564677,4.8546225
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.841625,5.035001,5.438313
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.341144,5.035001,5.6880725
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.243176,4.73706,5.490118
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.054524,5.078227,5.5663755
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.665611,5.035001,5.350306
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.296132,5.035001,5.1655665
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.57233,4.981276,5.276803
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.266351,5.556238,6.4112945
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.3175,5.035001,5.6762505
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.841625,5.153244,5.4974345
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.904201,5.291019,5.59761
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.272895,5.458415,5.865655
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.757877,5.008937,5.383407
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.867876,5.409675,5.6387755
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.321789,4.697096,5.0094425
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.530768,4.983593,5.2571805
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.892316,4.648598,5.270457
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.963508,5.035001,5.4992545
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.668692,5.784263,6.2264775
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.197741,4.981276,5.0895085
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.792122,3.441293,4.6167075
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.296289,5.035001,5.165645
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.117705,5.035001,5.076353
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.159721,4.981276,5.0704985
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.605405,5.035001,5.320203
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.841625,4.132045,4.986835
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.86881,4.910462,4.889636
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.974227,4.981276,5.4777515
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.109747,7.012136,7.0609415
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.841625,4.75277,5.2971975
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.386417,5.699879,6.043148
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.208982,5.386026,5.797504
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.841625,5.035001,5.438313
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.949598,5.035001,5.4922995
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.902133,4.981276,5.4417045
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.303152,5.146725,5.7249385
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.843215,6.217463,6.530339
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.37476,5.692372,6.033566
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.631903,5.20783,5.4198665
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.712915,5.386053,5.549484
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.763098,6.6654,7.214249
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.847526,6.70722,7.277373
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.04311,5.463369,6.2532395
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.180395,6.026436,6.6034155
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.430191,5.984102,6.7071465
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.954719,6.412515,7.183617
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.596714,6.202715,6.8997145
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.107385,6.243454,7.1754195
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.201552,5.035001,5.6182765
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.669366,6.172683,6.9210245
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.717333,6.741881,7.229607
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.131067,6.499558,7.3153125
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.339013,6.449793,6.894403
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.186344,6.409885,7.2981145
