"","sample","tissue","endometriosis","severity","p203058_s_at","p203060_s_at","PAPSS2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.889862,6.715763,6.3028125
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.839638,5.594156,5.216897
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.566037,9.219652,8.8928445
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.447101,7.863121,7.155111
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.692458,7.696059,7.1942585
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.189413,10.746716,9.9680645
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.097764,8.966109,8.5319365
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.990185,8.596736,7.7934605
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.218599,8.017206,7.1179025
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.259544,10.565807,9.9126755
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.160666,8.674264,7.917465
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.058787,8.107057,7.582922
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.807681,8.596138,7.7019095
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.592083,10.12612,9.8591015
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.609464,8.533137,7.5713005
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.003393,8.609124,8.3062585
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.9721,8.707265,8.3396825
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.212018,10.105755,9.6588865
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.119212,10.295496,9.707354
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.537638,8.350718,6.944178
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.605503,7.319585,5.462544
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.652711,11.351549,10.00213
