"","sample","tissue","endometriosis","severity","p223051_at","p226229_s_at","p227244_s_at","SSU72"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.508033,4.424528,5.25584,6.39613366666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.508033,6.729535,5.60162,7.27972933333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.181001,4.524835,4.946496,6.217444
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.716786,5.959605,4.309358,6.66191633333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.318676,5.389843,4.288274,6.33226433333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.819867,5.629572,5.732912,7.06078366666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.508033,3.520459,3.94226,5.65691733333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.793343,5.107684,5.492264,6.79776366666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.155038,4.812556,4.976101,6.64789833333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.63261,4.907024,4.353152,6.29759533333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.359858,5.845258,5.285573,7.163563
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.366358,3.70361,5.350961,6.473643
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.601052,5.510094,3.328247,6.47979766666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.885908,4.713653,4.718309,6.43929
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.936711,5.498754,3.660328,6.36526433333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.659011,5.520672,3.328247,6.16931
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.020895,5.257601,4.816182,6.698226
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.134229,4.409868,5.304072,6.61605633333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.954074,5.277898,4.383138,6.53837
