"","sample","tissue","endometriosis","severity","p200863_s_at","p234998_at","RAB11A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.969552,6.781742,8.875647
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.54822,6.622739,9.0854795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.688934,5.310864,7.999899
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.136707,9.150254,11.1434805
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.738435,6.557172,8.6478035
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.004378,7.788157,10.3962675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.983733,7.621714,10.3027235
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.522536,6.802003,9.1622695
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.067473,6.683403,8.875438
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.991548,7.912286,10.451917
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.837303,6.995614,9.4164585
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.288006,6.85845,9.073228
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.122583,6.678959,9.400771
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.309384,6.020834,8.665109
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.848092,6.734577,8.7913345
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.061536,7.711261,9.8863985
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.644257,9.154789,10.899523
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.87148,8.024063,10.4477715
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.750504,8.641013,10.6957585
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.563033,7.787208,10.6751205
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.681683,5.316513,8.499098
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.36112,7.717004,10.539062
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.212946,5.431291,8.3221185
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.437118,6.105361,9.2712395
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.558453,5.374795,8.966624
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.196531,3.949633,7.073082
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.945469,4.166685,7.556077
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.506666,5.962314,8.73449
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.602814,4.78311,8.192962
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.260379,4.529851,7.895115
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.07512,5.287786,8.181453
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.088755,5.250717,8.169736
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.622606,2.989872,6.806239
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.674127,4.444185,7.559156
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.47912,7.525687,9.5024035
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.870572,6.757771,9.8141715
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.583673,3.949633,7.266653
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.443149,6.715934,9.5795415
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.528584,4.706336,8.11746
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.104409,5.310864,8.7076365
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.305087,6.410402,8.8577445
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.046393,3.973862,8.0101275
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.448553,4.872469,8.160511
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.702164,7.735333,10.2187485
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.092705,6.184389,9.638547
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.606366,5.310864,8.458615
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.307822,5.074816,8.191319
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.949828,5.363487,8.6566575
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.445423,5.328398,8.8869105
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.028756,4.047344,7.53805
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.287708,3.491189,7.3894485
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.67686,5.1191,8.89798
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.058289,5.221882,8.1400855
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.203945,5.87691,8.5404275
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.758159,5.983025,8.870592
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.887861,6.963672,9.4257665
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.273455,5.853182,8.5633185
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.747504,8.614022,11.180763
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.766446,7.846709,10.3065775
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.142528,6.345704,9.244116
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.718516,5.7805,8.749508
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.981863,7.398155,10.190009
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.104188,7.843651,10.4739195
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.274776,7.014824,9.6448
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.790424,7.285346,9.537885
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.129025,5.964449,8.546737
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.64299,5.421317,8.5321535
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.474448,8.184864,9.829656
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.292992,8.019366,9.656179
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.114604,7.855748,9.485176
