"","sample","tissue","endometriosis","severity","p226984_at","p226985_at","FGD5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.72886,6.548048,5.638454
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.306503,5.675231,4.490867
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.326372,5.656756,4.991564
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.462564,6.404538,5.433551
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.586539,6.62212,5.6043295
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.532588,6.003835,5.2682115
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.668982,6.581383,5.6251825
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,7.20422,5.668893
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.142274,7.688787,5.9155305
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,6.253917,5.1937415
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,6.664285,5.3989255
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,5.419112,4.776339
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.645628,5.15955,4.902589
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,6.408826,5.271196
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.432405,6.400146,5.4162755
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.172493,7.153909,5.663201
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.72886,7.511099,6.1199795
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.133566,6.128241,5.1309035
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.566635,6.981852,5.7742435
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.697308,6.961415,6.3293615
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.72886,6.521809,5.6253345
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.119702,6.294127,5.7069145
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.805173,6.803442,6.3043075
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.376824,7.617726,6.997275
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.992735,6.970185,6.48146
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.080508,6.803442,5.941975
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.483745,6.62212,6.0529325
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.941194,6.911395,5.9262945
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.421758,6.803442,6.1126
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.755423,6.075692,5.4155575
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.149131,6.62212,5.8856255
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.72886,6.263495,5.4961775
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.715787,6.62212,5.6689535
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.72886,6.62212,5.67549
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.291073,7.344002,5.8175375
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.794821,7.277941,6.036381
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.747188,6.674801,5.7109945
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.737372,7.268354,6.002863
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.377093,6.62212,5.4996065
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.566966,6.803442,6.185204
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.947534,7.150657,6.0490955
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.330406,7.65413,6.992268
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.085435,6.62212,5.3537775
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.445948,8.010293,6.7281205
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.527999,6.913455,6.220727
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.821697,6.534565,5.178131
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.041336,5.874834,5.458085
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.185739,7.289465,6.237602
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.466551,7.257391,6.361971
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.952732,6.08704,5.519886
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.594611,6.62212,5.6083655
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.692957,7.911706,6.8023315
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.72886,6.803442,5.766151
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.93208,5.540837,4.7364585
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.736847,6.806058,6.2714525
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.852523,6.705993,5.779258
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.72886,6.770221,5.7495405
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.395494,7.471448,6.433471
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.404772,6.210374,4.807573
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.309101,7.213124,6.2611125
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.133566,5.612055,4.8728105
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.831835,8.065967,6.948901
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.197448,7.146336,6.171892
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.755774,6.874487,5.8151305
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822055,6.408654,5.1153545
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.925399,7.94216,6.9337795
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.16492,7.007741,5.5863305
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.271597,7.266173,5.268885
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.308285,6.737177,5.022731
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.647098,7.167774,5.407436
