"","sample","tissue","endometriosis","severity","p1552931_a_at","p212521_s_at","p212522_at","PDE8A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.990265,7.568991,9.866281,7.80851233333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.083314,6.628794,8.15031,6.620806
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.245506,7.870606,8.984534,7.70021533333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.890952,7.30666,8.869864,7.35582533333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.758346,8.778039,10.464597,9.00032733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.400074,7.254522,9.417582,7.690726
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.01079,7.509385,7.345714,6.621963
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.398356,7.437901,9.733757,7.85667133333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.18724,8.210981,10.499991,8.63273733333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.080176,6.436565,9.153813,6.89018466666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.040064,7.308618,9.47154,7.60674066666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.820164,6.509809,9.147142,7.15903833333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.128318,7.036664,9.37219,7.17905733333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.042762,7.232182,9.454715,7.576553
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.777614,7.663435,10.051341,8.16413
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.939328,7.697653,9.333549,7.65684333333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.851838,7.209159,9.645301,7.568766
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.274423,6.198989,9.765477,7.07962966666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.246887,6.525537,9.718518,7.49698066666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.549234,5.30557,7.822492,5.22576533333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.597773,4.937879,7.935098,5.15691666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.549234,4.22198,7.088763,4.61999233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.549234,5.106356,7.436506,5.03069866666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.693274,4.833475,6.297326,4.608025
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.549234,4.617152,6.685973,4.617453
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.80941,5.344076,5.372278,4.508588
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.899758,3.526673,5.439921,3.95545066666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.219428,5.919173,8.168335,5.76897866666667
