"","sample","tissue","endometriosis","severity","p223032_x_at","p224232_s_at","PRELID1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.89369,6.566699,8.2301945
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.795908,6.909895,8.8529015
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.835807,6.134327,7.985067
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.416142,6.731531,8.5738365
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.993819,6.455011,8.224415
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.4728,6.964745,8.7187725
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.808304,6.737738,8.273021
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.4418,6.909895,8.6758475
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.303573,7.130827,8.7172
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.624748,6.944408,8.784578
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.402083,6.909895,8.655989
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.649251,6.909895,8.779573
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.355469,6.909895,8.632682
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.489695,6.917075,8.703385
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.55548,6.909895,8.7326875
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.139228,6.909895,8.5245615
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.457979,6.909895,8.683937
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.305876,6.909895,8.6078855
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.249495,7.209424,8.7294595
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.061553,9.277579,10.669566
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.355784,9.529295,10.9425395
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.380877,9.535749,10.958313
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.782849,8.740756,10.2618025
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.754916,9.921219,11.3380675
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.433389,9.199964,10.8166765
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.574793,9.62027,11.0975315
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.028357,10.356101,11.692229
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.899946,9.053529,10.4767375
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.380324,8.915808,10.148066
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.640786,10.357501,11.4991435
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.537867,9.821091,11.179479
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.074614,9.244641,10.6596275
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.625999,10.214027,11.420013
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.834987,9.841249,11.338118
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.838467,7.868639,9.353553
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.375063,9.124335,10.749699
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.464686,9.664791,11.0647385
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.632185,8.454444,10.0433145
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.365901,9.777109,11.071505
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.265574,9.793793,11.0296835
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.674926,8.762803,10.2188645
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.560772,9.685039,11.1229055
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.644405,8.913541,10.278973
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.3502,8.206755,9.7784775
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.359763,9.18964,10.7747015
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.648743,9.895648,11.2721955
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.855807,10.556151,11.705979
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.162214,8.945362,10.553788
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.366193,9.358824,10.8625085
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.94186,9.991351,11.4666055
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.610138,9.751393,11.1807655
