"","sample","tissue","endometriosis","severity","p214280_x_at","p221919_at","p222040_at","HNRNPA1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.590727,10.254558,8.923493,10.2562593333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.95406,8.754677,7.42814,9.378959
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.510155,7.682898,6.407857,8.53363666666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.4599,9.031497,8.220568,9.570655
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.678949,9.516506,7.163417,9.45295733333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.338942,9.283282,8.431771,9.684665
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.539346,7.541835,6.259653,8.44694466666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.122256,8.233263,7.578162,9.311227
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.732242,9.315159,8.026655,9.691352
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.21834,8.479065,8.218029,9.30514466666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.105395,8.962104,6.823421,9.29697333333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.630853,9.310668,8.037025,9.65951533333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.574653,9.65785,9.230173,10.1542253333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.57296,9.672186,7.749727,9.66495766666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.505869,9.187647,7.498044,9.39718666666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.279523,9.754282,6.765845,9.26655
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.110769,9.129176,7.773796,9.33791366666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.089661,9.171103,8.084738,9.44850066666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.416881,9.86018,7.496675,9.59124533333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.839803,5.342297,5.714319,6.965473
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.224568,6.277668,6.880115,7.794117
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.178264,4.267299,3.754285,5.73328266666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.357341,6.893307,7.212638,7.82109533333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.598719,5.35991,4.981958,6.64686233333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.252017,5.42102,5.512398,6.72847833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.182681,5.645623,5.689174,6.83915933333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.813915,5.8184,5.339537,6.99061733333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.195762,6.941745,7.670975,8.269494
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.624897,5.742693,6.666289,7.34462633333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.542069,6.004793,5.759531,7.102131
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.191356,5.342297,6.151993,6.89521533333333
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.979912,6.513018,6.462415,7.65178166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.746307,4.970162,3.844745,5.853738
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.650841,5.256794,4.08669,5.99810833333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.149134,8.789019,8.446557,9.46157
