"","sample","tissue","endometriosis","severity","p224512_s_at","p225441_x_at","NAA38"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.750425,9.754896,9.7526605
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.383057,10.4322,10.4076285
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.484864,9.016744,8.750804
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.659107,9.633089,9.646098
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.451546,9.585233,9.5183895
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.617863,9.725987,9.671925
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.152644,9.063141,9.1078925
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.250368,10.773181,10.5117745
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.89873,10.27066,10.084695
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.821238,9.988097,9.9046675
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.625151,9.879971,9.752561
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.985787,9.933219,9.959503
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.422811,9.123046,8.7729285
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.416336,10.456791,10.4365635
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.873124,9.993354,9.933239
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.147626,9.106065,9.1268455
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.209401,9.492121,9.350761
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.120811,9.344475,9.232643
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.116502,9.286786,9.201644
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.843572,11.617635,11.7306035
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.523229,12.226571,12.3749
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.884927,11.668921,11.776924
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.485107,10.380594,10.4328505
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.338,12.074208,12.206104
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.986618,11.81496,11.900789
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.031497,12.944736,12.9881165
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.365375,13.09171,13.2285425
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.85772,11.621435,11.7395775
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.472351,11.274315,11.373333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.479477,12.23103,12.3552535
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.959531,12.64346,12.8014955
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.812819,11.54161,11.6772145
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.776587,12.468118,12.6223525
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.061409,12.50225,12.7818295
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.349542,11.288023,11.3187825
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.189743,11.815217,12.00248
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.637422,12.303762,12.470592
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.628076,11.553233,11.5906545
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.106449,12.925224,13.0158365
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.10867,11.74594,11.927305
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.478263,11.410488,11.4443755
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.795037,11.609114,11.7020755
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.059981,11.849865,11.954923
