"","sample","tissue","endometriosis","severity","p202471_s_at","p214333_x_at","IDH3G"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.112133,6.698378,8.4052555
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.364531,6.242131,8.303331
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.732675,6.242131,7.487403
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.289596,6.509386,8.399491
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.813975,6.698378,8.2561765
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.263416,6.73743,8.500423
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.451019,7.251104,8.3510615
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.238329,6.242131,8.24023
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.111476,6.242131,8.1768035
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.872031,6.698378,8.2852045
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.993564,6.698378,8.345971
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.43391,5.252333,7.3431215
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.861172,6.844476,7.852824
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.335092,6.311041,8.3230665
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.179543,6.242131,8.210837
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.172694,6.242131,8.2074125
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.693768,6.436575,8.0651715
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.604268,6.484643,8.0444555
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.609157,6.145807,7.877482
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.117768,7.740169,9.9289685
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.230986,7.595254,9.91312
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.308166,7.720753,10.0144595
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.047116,7.350138,9.198627
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.285977,8.089611,10.187794
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.424589,8.077978,10.2512835
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.627273,8.219521,10.423397
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.490139,8.542661,10.5164
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.183491,7.921568,10.0525295
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.530728,7.017331,9.2740295
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.405462,7.823769,10.1146155
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.291014,7.950889,10.1209515
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.929447,7.538507,9.733977
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.426179,8.378083,10.402131
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.817546,8.354631,10.5860885
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.006714,6.536658,8.771686
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.291208,7.715704,10.003456
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.334661,8.008587,10.171624
