"","sample","tissue","endometriosis","severity","p242622_x_at","p204053_x_at","p204054_at","p211711_s_at","p225363_at","PTEN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.905185,9.38347,5.974068,7.992571,11.15001,7.4810608
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,9.564837,6.07921,7.204924,12.569847,7.6946598
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.527667,10.083614,6.07921,8.043567,12.446927,8.036197
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.76354,8.653138,5.530752,5.725288,11.077599,6.7500634
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.504432,9.30128,5.914281,7.406456,10.979971,7.221284
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.504432,8.967286,5.762938,7.525781,11.230291,7.1981456
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.40114,8.468246,5.826725,6.400725,10.897492,6.9988656
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.232496,10.354685,6.749873,8.812852,12.828135,8.5956082
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,9.377781,6.07921,7.12714,11.771668,7.482056
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.761787,9.706232,5.89672,8.397409,11.281437,7.608717
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.087362,9.299943,6.08278,8.444723,11.823485,7.7476586
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.114035,9.757798,6.879761,8.412324,12.525257,8.337835
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.598288,9.233919,5.974068,5.60877,10.988858,7.2807806
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.465207,9.441455,6.07921,7.780164,11.761635,7.7055342
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.338345,9.121722,6.083637,7.985784,11.407851,7.5874678
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.68288,8.702637,5.974068,7.474424,11.121113,7.3910244
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,8.376234,5.645984,7.611928,10.968509,7.1314272
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,8.750105,5.324951,6.679177,11.244069,7.0105566
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.09275,9.399428,5.529445,8.098404,11.143412,7.4526878
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.729149,7.933429,5.902482,7.312618,10.664604,7.1084564
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,7.568044,5.495929,6.79007,10.753807,6.7324662
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,8.294149,5.64823,7.050754,10.807942,6.9711112
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.979194,8.125191,4.911198,8.083468,10.790918,7.1779938
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.553404,7.802072,5.974068,6.892035,11.160929,7.0765016
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.754233,6.596741,4.782315,6.218217,10.300588,6.3304188
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.830757,5.19439,4.690726,5.215547,9.508908,5.6880656
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.062709,6.722729,4.815035,6.441281,10.168641,6.442079
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.754713,7.961572,5.974068,6.891692,10.805157,6.8774404
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.269165,6.986341,5.531649,6.672045,10.827401,6.6573202
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.130849,6.994231,4.760237,6.532453,10.37894,6.359342
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.04352,6.233157,5.328902,4.827985,10.487795,5.9842718
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,7.781538,6.07921,7.559218,11.344775,7.1638444
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.374732,5.56902,4.690726,4.985032,9.638921,5.6516862
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,6.522016,4.379483,6.274672,10.046509,6.0554322
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.769686,8.713475,6.870446,8.014268,11.275512,7.5286774
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.298018,7.523344,4.811126,6.818641,10.362708,6.5627674
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.340808,6.70602,4.707191,6.755255,10.543499,6.6105546
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,9.104324,6.58249,7.913068,11.768352,7.684543
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.066463,6.966064,5.527729,6.745735,10.976826,6.8565634
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.035231,6.165091,4.783332,5.905593,10.482191,6.2742876
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.138536,7.95723,5.945051,7.286793,11.12707,7.090936
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,8.615081,5.845466,8.012153,10.846987,7.2748336
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,7.265445,5.348417,7.31835,10.831245,6.7635876
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.689584,8.224384,5.970359,7.771568,11.481076,7.2273942
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,7.8602,5.358027,6.585625,10.5195,6.6755666
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.054481,7.97221,5.828596,7.252307,11.08182,7.0378828
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.054481,5.797723,4.690726,5.58903,9.761683,5.7787286
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.373157,7.069603,5.307693,7.464384,10.926888,7.028345
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.778426,6.767147,4.503832,5.785435,10.04619,6.176206
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.213733,6.208285,4.690726,5.378029,9.64366,6.0268866
