"","sample","tissue","endometriosis","severity","p1557350_at","p201514_s_at","p225007_at","G3BP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.575852,7.692521,9.08333,7.11723433333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.05212,8.955713,8.90162,7.63648433333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,8.144113,8.905623,7.148319
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.268353,7.277698,8.928511,7.15818733333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,8.68655,9.254716,7.44549566666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.200915,8.035334,8.891087,7.37577866666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.69025,6.864023,8.956251,6.83684133333333
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,8.101594,9.074814,7.190543
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.732015,8.360063,9.31062,7.467566
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.431933,8.078307,8.25144,6.58722666666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.636648,8.882026,8.438144,7.31893933333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.395221,8.506893,9.015518,7.30587733333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.235257,6.954363,9.278882,7.15616733333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.823761,8.359676,8.799588,7.66100833333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.59347,7.172191,9.066701,7.277454
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.704208,6.854175,8.429846,6.99607633333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.351308,7.347615,8.820406,7.17310966666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.365157,8.27066,8.712654,7.44949033333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.384802,8.488368,8.108342,6.99383733333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.470773,6.287584,6.815766,6.19137433333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.267888,6.6125,8.030154,6.63684733333333
