"","sample","tissue","endometriosis","severity","p1567213_at","p1567214_a_at","p210183_x_at","p212037_at","p212036_s_at","PNN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.314405,12.018719,12.883144,10.741857,12.372779,10.6661808
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.426573,11.904584,12.651348,10.030804,12.912887,10.9852392
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.162091,11.450228,12.212466,10.052689,11.836574,10.1428096
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.51151,11.394049,12.544045,9.79131,12.157423,10.2796674
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.988416,11.607022,12.571647,10.984734,12.021647,10.2346932
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.310578,11.237636,12.583991,10.191771,11.846307,10.2340566
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.43425,10.622221,11.979287,9.110856,11.193237,9.2679702
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.321319,11.68111,12.500238,10.391671,12.395494,10.8579664
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.008273,11.573896,12.570925,10.718139,12.208084,10.6158634
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.1649,11.104373,12.746459,9.047926,11.213311,9.6553938
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.135053,11.587376,12.751836,11.111043,11.949694,10.5070004
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.251587,11.704127,12.463283,10.739813,12.061922,10.6441464
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.996714,11.102069,12.542563,8.610151,11.522161,9.7547316
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.04872,11.635209,12.843141,11.042875,12.191088,10.5522066
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.764665,11.467693,12.734076,10.830618,11.894764,10.3383632
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.82125,10.855968,12.339399,10.431909,11.195085,9.7287222
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.657858,10.873282,12.40594,10.669449,11.315818,9.9844694
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.766434,11.083346,12.631302,10.610857,11.479421,10.114272
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.82125,10.897845,12.456818,10.265696,11.107189,9.7097596
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.390852,7.97989,13.254852,8.177585,7.68926,8.2984878
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.153984,9.19478,13.325371,9.020869,9.043873,9.1477754
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.95897,6.775561,13.155867,8.182258,6.513546,7.5172404
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.323846,7.560491,13.070381,7.909081,7.720716,7.916903
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.511892,7.17037,13.162574,8.180777,7.311082,7.667339
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.560374,13.17134,7.598545,5.119711,6.9372074
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,5.136694,13.436089,8.054442,4.252466,6.6231516
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.384175,4.749549,13.792549,7.757941,6.602304,7.2573036
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.82125,8.401081,13.194474,9.159173,8.902854,8.6957664
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.47108,13.089152,8.323545,5.466665,7.1173018
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.436726,5.378327,13.358673,8.039894,5.462462,6.9352164
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.410174,6.20685,13.507817,8.517471,6.745292,7.4775208
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.414364,6.637559,13.039881,8.987667,7.279288,7.6717518
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.33226,4.995399,13.360546,6.469877,5.466665,6.5249494
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.409865,13.540441,7.31947,5.917335,7.0846356
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.432497,10.935944,13.058466,9.957938,10.764697,10.4299084
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.477249,7.438383,13.240673,7.977485,7.597707,7.9462994
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.34927,7.149677,13.407582,8.481216,6.277164,7.7329818
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.700163,9.700968,13.301223,9.264305,9.937857,9.7809032
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.362216,7.231712,13.548383,8.598594,7.310378,8.0102566
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.242144,6.772906,13.108528,7.644267,5.966637,7.1468964
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.964172,7.87129,13.404477,9.459991,7.42512,8.42501
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.096238,13.114253,7.38229,6.102992,6.986368
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.236067,6.805235,13.539598,7.931452,6.762392,7.4549488
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.785947,8.800683,13.090747,8.924021,9.020141,9.1243078
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.40576,6.71626,13.172374,7.171306,5.505549,6.9942498
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.822888,8.964351,13.610283,9.187982,8.675904,9.2522816
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.53739,6.388067,13.668835,8.104803,6.291493,7.5981176
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.435371,6.314628,13.174883,8.194842,5.882603,7.2004654
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.606048,6.709921,13.592347,7.487264,6.307157,7.3405474
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.236067,6.100022,13.800626,7.567728,5.466665,7.0342216
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.283135,8.085762,13.322247,7.539324,7.23533,7.6931596
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.549337,7.162547,13.537517,7.467556,7.024649,7.5483212
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.817599,6.316209,13.441438,8.896186,7.441508,7.782588
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.480356,8.448658,12.89914,8.402856,8.252732,8.0967484
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.103088,9.126889,13.181278,9.768745,9.160846,9.4681692
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.239093,10.567887,13.160324,9.925734,10.545269,10.2876614
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.82125,8.908558,13.339105,9.126406,9.172359,8.8735356
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.463325,9.980528,12.943514,9.971474,10.326044,9.936977
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.708366,10.437469,12.961373,10.100036,10.697041,10.380857
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.935886,9.454215,13.379392,9.297735,9.588783,9.7312022
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.924187,9.211369,13.330765,8.645736,9.044392,8.6312898
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.480751,9.552163,12.870578,9.662825,9.826064,9.4784762
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.052974,9.819517,12.799789,9.75147,10.034752,9.6917004
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.306058,10.235494,12.962764,9.543903,10.107462,9.8311362
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.270841,10.983419,12.58146,10.504148,11.360499,10.7400734
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.942172,9.117197,13.061769,9.644198,9.484825,9.0500322
