"","sample","tissue","endometriosis","severity","p220985_s_at","p226104_at","RNF170"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.202316,9.104625,8.1534705
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.949981,8.950805,7.450393
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.99121,7.503435,6.2473225
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.674085,8.384301,7.029193
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.23548,8.151578,7.693529
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.171137,8.136674,7.1539055
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.932103,7.349526,5.6408145
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.517375,9.049391,7.283383
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.695816,9.348672,7.522244
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.90901,7.971202,7.440106
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.557765,8.620702,7.5892335
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.685129,8.629613,7.157371
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.145907,7.620637,5.883272
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.572597,8.396031,7.484314
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.801905,9.280803,8.041354
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.704054,8.781522,7.742788
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.260429,8.463056,7.3617425
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.805497,8.218081,7.511789
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.495609,8.044151,7.26988
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.114199,6.984393,6.549296
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.55578,7.559157,7.0574685
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.423469,6.826828,6.6251485
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.176639,6.995356,6.0859975
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.897302,6.277652,6.087477
