"","sample","tissue","endometriosis","severity","p47553_at","p221887_s_at","WHRN"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.436048,9.059433,9.2477405
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.225151,7.603719,7.414435
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.661292,6.236284,4.948788
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.082034,5.971739,5.5268865
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.400308,7.016232,7.20827
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.334806,6.563427,6.4491165
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.968772,6.753412,5.861092
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.674521,4.842961,4.758741
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.861586,7.985973,7.9237795
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.693403,7.016232,6.8548175
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.123326,5.441159,4.7822425
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.139923,5.461533,4.800728
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.840743,7.466754,7.1537485
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.397873,4.736615,4.567244
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.604402,8.460271,8.5323365
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.777478,7.016232,6.896855
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.006623,7.016232,7.0114275
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.580018,6.861555,6.7207865
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.624564,6.237367,6.4309655
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.481054,6.962497,6.7217755
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.631973,8.92181,8.7768915
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.199601,7.776647,7.988124
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.99424,8.320914,8.157577
