"","sample","tissue","endometriosis","severity","p1553959_a_at","p225733_at","B3GALT6"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.455182,7.231849,7.3435155
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.871141,7.550408,7.7107745
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.579562,7.784715,7.1821385
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.993989,7.48746,7.7407245
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.032152,7.179637,7.6058945
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.437431,7.925345,8.181388
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.422798,7.57616,7.499479
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.430272,8.0907,8.260486
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.196666,7.808315,8.0024905
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.060958,6.759516,7.410237
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.032152,7.482047,7.7570995
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.902876,7.466242,7.684559
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.086396,6.149648,6.618022
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.049951,7.929087,7.989519
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.804685,7.867473,7.836079
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.147203,7.317311,7.732257
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.181595,7.608135,7.894865
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.047119,7.17158,7.6093495
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.032152,7.137355,7.5847535
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.330247,9.542804,10.4365255
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.725874,9.572559,10.1492165
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.083525,9.632881,10.358203
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.320144,9.017308,9.668726
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.375708,10.057195,10.7164515
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.793705,9.584513,10.189109
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.069047,10.014396,10.5417215
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.877538,10.378567,11.1280525
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.739608,9.183471,9.4615395
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.695215,9.031626,9.3634205
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.55958,10.196993,10.8782865
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.106749,9.504459,10.305604
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.953894,9.40188,9.677887
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.919407,10.775357,11.347382
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.464299,10.353728,10.9090135
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.613609,8.504574,9.0590915
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.640401,9.895383,10.767892
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",11.123493,10.27331,10.6984015
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.999309,8.790397,9.394853
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.84254,9.725287,10.2839135
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.560367,10.010796,10.7855815
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.807024,8.808358,9.307691
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.40212,10.013452,10.707786
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.72123,9.553945,10.1375875
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.036221,8.41244,9.2243305
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.03467,9.513471,10.2740705
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.88374,9.711437,10.2975885
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.3126,10.495483,10.9040415
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.972822,9.628361,10.3005915
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.216627,9.613412,10.4150195
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.099186,9.94056,11.019873
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.109351,9.80767,10.4585105
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.555396,9.950228,11.252812
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.133527,9.996263,10.564895
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.134009,9.41647,9.7752395
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.588608,10.040242,10.314425
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.96776,8.145638,8.556699
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.759364,9.486641,10.1230025
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.778521,9.059752,9.9191365
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.258507,8.62225,9.4403785
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.609409,9.257807,9.933608
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.782814,9.584079,10.1834465
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.112272,8.965054,9.538663
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.245522,9.080627,9.6630745
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.249718,8.600809,8.9252635
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.47247,8.407465,8.9399675
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.053414,9.378675,9.7160445
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.655127,9.724022,10.1895745
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.778282,8.352402,8.565342
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.771947,8.444466,8.6082065
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.582052,8.349944,8.465998
