"","sample","tissue","endometriosis","severity","p226069_at","p226065_at","p230708_at","PRICKLE1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.288074,9.020397,7.521797,8.61008933333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.874745,9.474473,6.616455,7.98855766666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.12564,10.121991,7.823122,8.35691766666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.027343,8.046473,5.911208,6.66167466666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.340861,9.404381,7.006435,8.58389233333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.753652,8.188271,5.883496,6.94180633333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.711122,9.025998,5.883496,6.87353866666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.328726,10.419856,6.774544,8.50770866666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.731813,9.888424,6.852059,8.49076533333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.448733,8.181321,5.748277,7.12611033333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.488097,9.09383,6.905362,8.16242966666667
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.594354,9.860949,7.74369,8.73299766666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.641096,8.825576,5.883496,7.450056
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.512066,11.060652,8.365825,9.646181
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.868968,10.574602,7.769374,9.07098133333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.095949,9.530052,6.671052,8.09901766666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.679445,9.264864,5.968316,7.63754166666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.498545,8.258631,6.17546,7.31087866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.968961,8.692233,6.616541,7.759245
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.412601,7.782758,5.75387,6.98307633333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.336716,8.546465,7.964669,8.28261666666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.921078,7.057351,5.900065,6.62616466666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.275508,7.078597,4.816283,6.056796
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.09372,6.585906,6.260182,6.979936
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.384688,8.493034,6.439597,7.43910633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.451874,6.240009,5.767186,6.153023
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.437572,7.820646,6.133359,7.463859
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.119227,9.37773,8.246753,8.91457
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.165883,7.753802,6.607399,7.17569466666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.277913,7.511086,7.335111,7.70803666666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.143374,7.987615,7.764336,8.29844166666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.752983,9.784693,8.133821,9.22383233333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.019314,8.228966,5.793153,7.013811
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.69196,7.997368,5.802786,7.164038
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.923704,9.257305,7.891056,8.69068833333333
