"","sample","tissue","endometriosis","severity","p212633_at","p212634_at","UFL1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.999239,8.449359,9.724299
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.657456,9.257496,9.457476
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.979806,7.927731,7.4537685
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.092966,7.729233,8.4110995
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.408156,7.58693,8.997543
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.745519,8.440494,9.0930065
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.708978,7.495282,8.10213
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.592998,7.577992,8.085495
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.878045,8.723896,9.3009705
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.239989,8.690549,9.465269
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.927066,8.661953,9.2945095
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.768771,8.630722,9.1997465
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.275864,7.558685,8.4172745
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.332776,8.137261,8.7350185
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.006588,8.90354,9.455064
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.998291,8.440564,9.2194275
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.699466,8.12611,8.912788
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.40653,9.512312,9.959421
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.373594,9.401175,9.8873845
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.496825,4.954097,6.225461
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.470195,5.329069,6.899632
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.175221,2.804693,5.489957
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.730869,5.691566,6.7112175
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.95107,2.63959,4.79533
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.391582,4.587191,5.9893865
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.413814,4.904325,6.6590695
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.155723,4.748563,5.452143
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.461364,5.897731,7.1795475
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.643814,4.40465,6.524232
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.653797,3.192525,5.423161
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.326489,2.804693,5.065591
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.279967,5.897731,7.088849
