"","sample","tissue","endometriosis","severity","p203553_s_at","p211081_s_at","MAP4K5"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.222587,4.933886,7.0782365
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.887503,4.322808,6.6051555
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.171988,3.369624,5.770806
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.666695,3.785507,6.226101
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.31083,5.275337,7.2930835
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.890426,4.188775,6.5396005
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.403306,2.914325,5.1588155
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.831568,2.914325,5.8729465
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.710394,4.452262,7.081328
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.714605,4.661749,6.688177
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.084007,5.650343,7.367175
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.132345,5.205334,7.1688395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.90104,3.270603,5.5858215
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.56105,5.162899,6.8619745
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.889226,4.924977,6.9071015
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.773912,4.775704,6.774808
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.354608,3.92594,6.140274
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.871576,5.195366,7.033471
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.979637,5.445918,7.2127775
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.456655,2.639036,4.5478455
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.723753,2.236067,3.97991
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.716156,2.907352,4.311754
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.782259,2.80343,4.2928445
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.475017,2.236067,3.855542
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.413172,2.346137,3.8796545
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.266902,2.639036,3.452969
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.993563,2.639036,3.8162995
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.953755,2.375741,4.664748
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.458023,2.914325,3.686174
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.345973,2.236067,3.79102
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.677136,2.674882,3.176009
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.860997,2.236067,4.048532
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.536816,2.80343,3.670123
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.417776,2.639036,3.528406
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.022613,4.836475,6.429544
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.717126,4.980508,5.348817
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.546436,2.80343,4.174933
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.480786,2.639036,5.059911
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.713348,2.364247,3.5387975
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.254451,2.80343,4.0289405
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.081947,2.80343,3.9426885
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.658647,2.639036,4.1488415
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.987706,2.38605,3.186878
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.654686,2.914325,4.7845055
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.531874,2.646844,4.089359
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.475017,2.639036,4.0570265
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.493742,2.429898,3.96182
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.926287,2.639036,3.7826615
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.942775,2.236067,3.589421
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.667668,2.639036,3.153352
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.546436,2.914325,4.2303805
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.104356,2.639036,3.371696
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.546436,2.72686,4.136648
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.57571,2.277776,3.926743
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.487926,2.639036,4.063481
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.801074,2.690838,4.745956
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.546436,2.80343,4.174933
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.518551,3.004846,5.2616985
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729015,3.270603,5.999809
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.138894,2.587154,4.363024
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.844435,2.639036,4.7417355
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.145185,2.506421,4.825803
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.393824,2.988366,5.191095
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.740312,5.257008,6.49866
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.411143,2.79294,5.6020415
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.639987,2.639036,4.6395115
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.20675,2.639036,4.922893
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.549794,5.009345,6.7795695
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.571501,6.090989,7.331245
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.932868,4.668765,6.8008165
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.526021,5.854663,7.690342
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.796862,6.14717,7.472016
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.588421,6.60998,8.0992005
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.42137,5.643984,7.532677
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.208263,3.819507,6.513885
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.77022,3.979346,6.374783
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392387,4.966303,6.679345
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.269933,6.299928,7.2849305
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.615848,3.973234,6.294541
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.134176,6.827256,6.980716
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.468711,3.240239,5.854475
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.627654,3.74804,6.187847
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.808526,2.914325,5.3614255
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.678605,3.270603,5.474604
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.737097,3.270603,5.50385
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.449245,3.539831,4.994538
