"","sample","tissue","endometriosis","severity","p208914_at","p213772_s_at","GGA2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.102982,5.654621,4.8788015
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.623926,6.127194,5.37556
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.707534,5.658255,5.1828945
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.422857,6.180592,6.3017245
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.016438,6.127194,5.571816
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.764956,6.814883,6.7899195
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.129668,6.363912,6.24679
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.187274,6.406161,5.7967175
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.258478,6.319222,5.78885
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.886833,6.127194,6.0070135
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.513022,5.167303,4.8401625
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.937561,5.782051,5.359806
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.771546,6.127194,5.44937
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.714089,6.8325,5.7732945
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.477156,6.1405,5.308828
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.501933,6.203415,5.852674
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.16068,6.127194,5.643937
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.652228,6.312323,6.4822755
