"","sample","tissue","endometriosis","severity","p217743_s_at","p232591_s_at","TMEM30A"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.690084,7.044337,8.3672105
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.585108,8.538295,9.0617015
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.310506,7.04337,8.176938
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.592277,7.612077,9.102177
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.929759,8.167185,9.048472
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.831935,8.498848,9.6653915
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.776089,6.26111,8.0185995
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.131321,6.533809,8.332565
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.8374,7.687659,8.7625295
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.733474,8.791209,9.7623415
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.281631,9.077892,9.6797615
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.568775,8.19654,9.3826575
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.770775,6.571192,8.1709835
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.222719,7.181405,8.702062
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.056631,6.578536,8.3175835
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.789772,7.802497,9.2961345
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.210482,7.227385,8.7189335
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.548917,8.492854,9.5208855
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.538688,7.765769,9.1522285
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.13259,5.09106,6.611825
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.799428,5.013839,6.4066335
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.301401,5.060193,6.680797
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.062587,4.720499,5.891543
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.503856,4.478855,5.9913555
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.6512,3.658629,5.6549145
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.094783,3.434759,4.264771
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.551757,2.553611,3.552684
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.737623,4.963225,6.850424
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.656817,3.408615,5.032716
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.437305,2.934402,4.1858535
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.059831,2.553611,3.806721
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.542416,4.582671,6.5625435
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.500999,2.553611,3.027305
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.952406,2.965273,4.4588395
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.5137,6.087215,7.8004575
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.271277,4.725471,6.498374
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.081278,2.583489,3.8323835
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.941139,5.466846,7.2039925
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.769959,3.44069,5.1053245
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.494329,3.454623,4.474476
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.218391,3.845812,5.5321015
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.329323,5.531083,6.430203
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.586789,3.129594,4.3581915
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.366513,4.542866,6.4546895
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.731268,4.348675,5.5399715
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.932885,3.444478,5.1886815
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.224752,2.562267,3.3935095
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.063212,5.214705,6.6389585
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.92962,4.125802,5.027711
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.364276,3.172024,3.76815
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.490449,2.778591,4.13452
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.930939,4.543679,5.237309
