"","sample","tissue","endometriosis","severity","p226835_s_at","p229899_s_at","ZFAS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.277379,6.306071,8.791725
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.949601,4.097661,8.023631
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.673663,4.219833,7.946748
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.676752,4.145727,7.9112395
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.054648,4.987667,8.0211575
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.188894,5.056263,8.1225785
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.996688,3.004674,7.000681
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.63423,4.097661,7.8659455
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.64351,4.097661,7.8705855
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.598922,4.213711,7.4063165
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.076038,3.848286,7.462162
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.337596,4.204186,7.770891
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.691507,5.580264,8.1358855
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.164588,6.028043,8.5963155
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.298665,5.801429,8.550047
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.241603,6.028951,8.635277
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.09812,5.966993,8.0325565
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.190224,5.889356,8.03979
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.897827,5.484728,8.1912775
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.395007,3.335054,6.8650305
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.046711,3.120084,7.0833975
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.622314,2.903999,6.7631565
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.576545,3.539506,6.5580255
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.635941,2.940784,6.7883625
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.718363,2.903999,6.311181
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.400687,2.903999,6.652343
