"","sample","tissue","endometriosis","severity","p209218_at","p213562_s_at","p213577_at","SQLE"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.99496,6.168286,8.877833,9.013693
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.338482,6.808662,8.465636,8.87092666666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.219186,2.621909,6.077484,5.63952633333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.930484,2.650105,6.221557,5.60071533333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.23961,5.193481,5.908625,7.11390533333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.566366,3.543451,6.339425,6.48308066666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.442129,2.646668,6.203639,5.430812
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.517054,2.621909,6.27373,5.804231
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.853732,6.363511,8.599148,8.60546366666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.524717,2.621909,5.364237,5.17028766666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.453806,5.179735,6.483549,7.03903
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.573199,3.745641,5.762778,6.027206
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.136891,2.596008,7.453292,6.395397
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.09169,3.049023,7.330969,6.49056066666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.756743,5.010577,9.135758,8.301026
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.999186,2.621909,6.498705,6.03993333333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.33142,2.758819,6.377879,6.15603933333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.145718,2.713136,6.04533,5.96806133333333
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.392459,2.621909,5.762095,5.59215433333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.191331,2.596008,5.650236,5.14585833333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.743375,2.805893,7.446759,6.66534233333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.295009,2.596008,5.43068,5.10723233333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.48687,2.506004,7.650777,5.54788366666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.057011,2.528914,4.774302,4.78674233333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.813053,2.577471,6.135161,5.17522833333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.28471,2.577471,9.731915,6.86469866666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.33872,2.646668,6.909196,5.631528
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.893613,2.621909,6.493857,6.00312633333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.914036,2.596008,8.276969,6.595671
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.440323,2.506143,6.138133,5.02819966666667
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.606058,2.506004,8.583229,6.23176366666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.923328,2.621909,6.602394,5.715877
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.702486,2.596008,7.327364,5.20861933333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.112847,2.596008,7.041491,5.58344866666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.470651,7.438039,9.036,9.64823
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.59399,2.506004,6.795037,5.29834366666667
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.01237,2.514499,7.793644,5.77350433333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.343153,7.184594,10.072643,9.86679666666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.254914,2.542662,7.662838,5.820138
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.594113,2.596008,8.216717,5.80227933333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.367468,2.506004,8.595118,6.48953
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.305327,2.646668,4.937393,4.96312933333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.172038,2.596008,7.216806,5.66161733333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.436414,2.510715,6.054015,5.33371466666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.590083,2.506004,5.912805,5.002964
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.90028,2.596008,7.65894,6.05174266666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.123654,2.577471,5.596304,4.76580966666667
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.651348,2.506004,7.35421,5.503854
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.280007,2.460328,7.606198,6.115511
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.688809,2.506004,9.812771,7.002528
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.878959,2.596008,9.157022,6.87732966666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.82995,2.596008,6.726012,5.38399
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.024331,2.596008,6.358973,5.32643733333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.857796,2.646668,8.115948,6.54013733333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.22654,2.506004,6.591912,5.77481866666667
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.948375,2.646668,9.034667,7.54323666666667
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.621427,2.598423,7.31124,6.17703
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.465975,2.621909,5.93656,5.67481466666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.964852,2.646668,4.717859,5.44312633333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.709092,6.554506,8.716163,8.99325366666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.651988,5.41791,9.613288,8.561062
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.928825,2.596008,4.36751,4.96411433333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.074694,2.621909,6.427534,6.041379
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.729388,2.607697,7.76862,6.36856833333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.460565,6.374785,7.693238,8.50952933333333
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.336276,2.596008,7.109109,6.01379766666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.823222,2.664137,6.692356,6.059905
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.535306,4.578421,7.339971,7.484566
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.255007,4.943114,7.327659,7.50859333333333
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.766497,3.558782,6.440733,6.58867066666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.273197,4.276603,6.154165,6.56798833333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.100479,7.149786,8.807324,9.35252966666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.175629,5.02096,6.236618,7.14440233333333
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.026607,4.919308,6.38806,7.111325
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.777256,7.335396,7.78937,8.96734066666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.547368,6.403094,7.791805,8.58075566666667
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.893593,4.77034,6.474566,7.04616633333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.501743,3.90839,7.156434,6.85552233333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.511995,4.121076,6.326554,6.65320833333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.292804,3.263363,10.347895,8.301354
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.055652,4.176414,7.024953,7.085673
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.70945,4.35698,6.187905,6.751445
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.632201,2.621909,6.138133,5.464081
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.323117,6.150297,8.427703,8.63370566666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.387474,2.877545,7.127155,6.464058
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.255196,2.596008,5.867942,5.23971533333333
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.484205,2.577471,7.46118,5.840952
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.524717,2.577471,5.903871,5.335353
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.294595,3.123518,6.682169,6.36676066666667
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.515051,2.646668,6.612422,5.92471366666667
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.377604,6.103545,9.176943,8.88603066666667
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.048944,2.596008,8.186945,5.277299
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.679368,2.596008,6.321774,5.53238333333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.71363,2.646668,6.506732,5.95567666666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.428352,2.531239,7.899797,6.28646266666667
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.981748,2.621909,6.069237,5.89096466666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.444605,2.506004,6.413162,5.45459033333333
