"","sample","tissue","endometriosis","severity","p212095_s_at","p212093_s_at","MTUS1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.822957,8.721767,7.772362
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.514711,9.070164,8.7924375
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.418707,6.959841,6.689274
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.494152,7.98022,7.237186
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.17831,9.543829,8.8610695
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.609518,7.961755,6.7856365
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.98552,6.875824,6.930672
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.230546,7.830405,7.0304755
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.057245,8.548283,8.302764
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.792343,7.896862,7.3446025
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.000963,8.790902,8.3959325
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.48238,8.267707,7.3750435
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.024117,7.737687,6.880902
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.06797,8.000904,7.534437
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.98552,8.582648,7.784084
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.189173,8.386282,7.7877275
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.5057,7.941775,7.2237375
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.294237,7.827266,7.5607515
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.405765,7.465533,7.435649
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.023529,5.027899,6.025714
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.132867,5.391758,6.2623125
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.664378,5.011181,5.8377795
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.710206,4.575505,5.6428555
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.883233,4.557432,4.7203325
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.351025,4.575505,5.463265
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.074611,4.575505,4.825058
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.32816,3.543706,4.435933
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.722822,6.5877,7.155261
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.746636,3.543706,4.645171
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.250455,3.543706,4.8970805
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.543439,3.543706,3.5435725
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.782557,4.853485,5.818021
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.23704,4.575505,4.4062725
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.82106,4.831584,5.326322
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.98552,6.628251,6.8068855
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.652658,5.249934,5.951296
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.940964,3.543706,5.242335
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.234918,5.887056,6.560987
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.599081,3.543706,5.0713935
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.042043,3.543706,4.2928745
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.340226,3.543706,5.441966
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.571483,4.575505,4.573494
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.71162,3.543706,4.627663
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.250481,4.575505,5.912993
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.85732,3.826547,4.8419335
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.140033,3.543706,5.3418695
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.600485,3.668911,4.634698
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.443252,3.524371,4.4838115
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.651557,4.48943,5.5704935
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.946751,4.409136,5.1779435
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.558428,4.575505,5.0669665
