"","sample","tissue","endometriosis","severity","p223207_x_at","p225683_x_at","PHPT1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.109271,7.568797,8.839034
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.761686,7.472581,9.1171335
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.966902,6.883086,8.424994
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.355161,7.562592,8.9588765
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.231098,7.568095,8.8995965
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.161655,7.4414,8.8015275
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.187757,6.6968,7.9422785
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.837511,7.227615,9.032563
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.967105,7.546892,9.2569985
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.084293,7.118448,8.6013705
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.617629,7.210817,8.914223
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.247839,6.473648,8.3607435
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.383548,6.991968,8.187758
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.722544,7.098788,8.910666
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.85558,7.568797,9.2121885
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.847978,7.293519,8.5707485
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.624036,6.794761,8.2093985
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.601323,7.568797,8.58506
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.473927,6.972112,8.2230195
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.964627,8.18708,10.0758535
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.38294,8.382104,10.382522
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.134971,8.381832,10.2584015
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.166779,7.588979,9.377879
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.334933,8.52107,10.4280015
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.206701,8.51676,10.3617305
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.984838,9.491244,11.238041
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.574734,9.3657,11.470217
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.104686,7.876674,9.99068
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.730231,7.979511,9.854871
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.875456,9.11018,10.992818
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.115869,9.101352,11.1086105
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.02466,8.036944,10.030802
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.026064,9.284461,11.1552625
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.381081,9.26626,11.3236705
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.225235,7.564359,9.394797
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.289074,8.558912,10.423993
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.026031,8.754468,10.8902495
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.907874,7.745553,9.8267135
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.400661,8.71379,11.0572255
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.260456,9.029656,10.645056
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.341266,8.404569,10.3729175
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.149673,8.324694,10.2371835
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.598704,7.604902,10.101803
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.387229,7.568797,9.478013
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.311705,8.629157,10.470431
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.232638,7.711625,10.4721315
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.191868,9.240181,11.2160245
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.672799,7.817097,9.744948
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.3146,8.544526,10.429563
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.189845,9.25521,11.2225275
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.679106,9.078656,10.878881
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.446912,9.480571,11.4637415
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.871272,8.715212,10.793242
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.04928,7.688867,9.8690735
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.592001,8.27494,10.4334705
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.106246,8.044955,10.0756005
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.528526,8.582343,10.5554345
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.68555,7.886967,9.7862585
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.323515,7.253186,9.2883505
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.226504,8.408292,10.317398
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.245674,8.321325,10.2834995
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.535687,7.419513,9.4776
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.367337,7.568797,9.468067
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.230936,7.087709,9.1593225
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.082942,7.338145,9.2105435
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.047256,8.146133,10.0966945
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.680441,8.552241,10.616341
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.80671,6.809387,8.8080485
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.269223,7.514013,9.391618
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.495043,7.112679,8.803861
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.640645,5.736819,7.688732
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.340132,6.801149,8.5706405
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.467488,6.810674,8.639081
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.756662,7.009857,8.8832595
