"","sample","tissue","endometriosis","severity","p218183_at","p223960_s_at","CDIP1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.986531,6.670132,6.3283315
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.44645,6.334042,5.890246
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.159977,6.844254,6.0021155
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.586923,5.981537,5.28423
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.071744,7.788641,6.4301925
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.031429,6.761597,5.896513
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.077338,6.215905,5.6466215
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.467666,6.428662,5.448164
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.69633,6.1758,5.936065
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.596207,7.679763,6.637985
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.164511,6.315166,5.2398385
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.351827,6.383736,5.3677815
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.326696,6.589511,5.9581035
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.819047,6.638714,6.2288805
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.339713,7.32364,6.8316765
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.447518,6.395342,5.92143
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.275594,6.448525,5.8620595
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.172473,6.935572,6.0540225
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.803039,6.565563,6.184301
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.272793,9.143713,8.208253
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.061064,9.037269,8.0491665
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.178801,10.291198,9.2349995
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.705579,9.326375,8.015977
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.29217,10.736655,9.5144125
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.115453,9.267456,8.1914545
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.224965,9.72333,8.9741475
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.853832,10.165049,9.0094405
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.700779,8.783985,7.742382
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.092283,8.835774,7.9640285
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.565239,10.327381,9.44631
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.437365,10.128493,8.782929
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.568045,8.513398,7.5407215
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.62367,11.03981,9.83174
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.379122,10.659826,9.519474
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.094933,8.675124,7.8850285
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.779561,9.953644,8.8666025
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.151591,10.209938,9.1807645
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.900124,9.022554,7.961339
