"","sample","tissue","endometriosis","severity","p206487_at","p212074_at","p214169_at","SUN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.432729,10.925294,3.018394,6.12547233333333
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.452575,9.336182,2.699098,5.16261833333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.146229,9.748611,3.234888,5.70990933333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.30382,10.693273,2.699098,6.23206366666667
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.646667,10.889368,2.840203,5.79207933333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.956313,10.827595,2.699098,5.82766866666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.385966,9.366458,2.790971,5.18113166666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.811231,10.360263,2.78939,5.653628
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.306672,10.832399,2.797178,5.64541633333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.516451,10.821583,3.567816,6.63528333333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.267121,11.175814,2.699098,6.04734433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.306672,11.053448,2.699098,5.686406
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.917572,10.963411,2.699098,6.19336033333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.407472,10.56705,2.699098,5.55787333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.306672,10.722645,2.88256,5.63729233333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.942188,10.983734,2.929689,6.28520366666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.249895,11.386188,3.036451,6.224178
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.306672,11.171433,3.234888,5.904331
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.306672,10.393891,2.699098,5.46655366666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.745534,8.640817,3.247114,6.87782166666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.158,8.222839,4.027362,6.80273366666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.912104,8.195719,4.255842,6.78788833333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.514211,7.7119,4.260148,6.828753
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.634999,7.470262,3.555438,6.220233
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.828454,7.665432,3.781601,6.75849566666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.094122,7.781246,5.628977,7.83478166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.352521,6.910799,5.262986,7.17543533333333
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.829257,9.001854,4.215974,7.34902833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.249122,8.675698,5.024911,7.64991033333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.851201,7.288701,6.377711,7.83920433333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.811433,7.193684,6.519962,7.841693
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.239679,8.711024,5.869936,7.940213
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.196182,5.462486,3.340594,5.999754
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.000676,6.509904,5.082364,6.86431466666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.833965,9.741585,3.781601,6.785717
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.664836,8.636114,5.221332,7.174094
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.842214,7.829698,4.484463,7.38545833333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.159299,8.781193,4.616687,7.18572633333333
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.740671,7.617234,6.417406,7.59177033333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.550641,7.710258,5.35865,7.53984966666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.487114,8.573347,5.656407,8.238956
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.450447,7.728594,5.315428,7.164823
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.413648,7.790426,7.25019,8.15142133333333
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.220252,9.043638,5.788668,8.01751933333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.323685,7.859955,5.11325,7.09896333333333
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.779984,8.157702,5.733637,7.55710766666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.739847,7.180855,5.751163,7.223955
