"","sample","tissue","endometriosis","severity","p219677_at","p226075_at","SPSB1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.035428,6.919125,6.4772765
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.764283,5.013486,5.3888845
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.531676,7.809662,7.170669
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.35465,8.631437,7.9930435
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.850125,6.603838,6.2269815
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.265274,8.055904,7.660589
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.916546,7.893118,7.404832
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.379321,6.520401,5.949861
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.874707,5.567891,5.721299
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.992998,6.525066,6.759032
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.044108,5.450354,5.747231
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.922507,7.042508,6.4825075
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.606129,7.94977,7.7779495
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.539901,6.320783,6.430342
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.174286,6.630252,6.402269
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.203286,8.476614,7.83995
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.380145,9.127634,8.2538895
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.859288,7.790394,7.324841
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.265274,8.211375,7.7383245
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.394248,9.951424,9.672836
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.761232,8.150535,7.4558835
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.549449,9.482297,9.015873
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.376584,11.515011,11.4457975
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.764463,10.115324,9.4398935
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.658805,9.721645,9.190225
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.523153,9.401396,8.9622745
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.491901,8.575109,8.533505
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.453674,9.085978,8.269826
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.698233,8.691395,8.194814
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.640957,9.437935,9.039446
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.807932,8.984736,8.396334
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.003101,9.276477,8.639789
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.200205,8.980388,8.5902965
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.021529,8.724256,8.3728925
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.402094,6.677339,6.5397165
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.172308,8.85395,9.013129
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.378361,8.016978,7.6976695
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.042658,8.207914,7.625286
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.144718,7.456764,7.300741
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.807406,10.65784,10.232623
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.516831,10.303996,9.9104135
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.837233,11.786988,11.3121105
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.451696,8.698608,8.575152
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.134127,10.539338,10.3367325
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.167162,10.044085,9.6056235
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.489411,7.491052,7.4902315
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.135753,8.799084,8.4674185
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.741655,11.231704,10.9866795
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.567559,9.388202,8.9778805
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.018252,8.337188,8.17772
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.881466,8.728153,8.3048095
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.504327,9.506221,9.505274
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.262627,9.387722,8.8251745
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.979167,8.226153,7.60266
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.265274,8.164956,7.715115
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.783805,7.016205,6.400005
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.470278,8.440358,7.955318
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.304479,9.016568,8.6605235
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.964229,8.681535,8.322882
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.56983,7.68521,7.12752
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.923525,8.735058,8.3292915
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.850171,9.575188,8.7126795
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.769755,8.604703,8.187229
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.14933,9.75491,9.45212
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.904669,7.392263,6.648466
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.213147,8.682276,7.9477115
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.783405,8.968642,8.3760235
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.487459,5.129083,5.808271
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.444818,5.964596,6.204707
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.490092,4.862155,5.1761235
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.056923,8.047348,8.0521355
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.80272,5.374995,5.5888575
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.197902,4.862155,5.0300285
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.180801,4.865753,5.523277
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.241576,4.862155,5.0518655
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.291737,6.259099,6.275418
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.422943,4.864757,5.14385
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.742594,7.727805,7.7351995
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.938847,6.892579,6.915713
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.86869,6.714819,6.7917545
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.907479,5.824203,5.865841
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",5.826139,5.166252,5.4961955
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.469028,9.675103,9.0720655
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.499659,8.986699,8.243179
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.658687,7.365923,7.012305
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.959305,10.031589,9.495447
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.510045,9.841194,9.1756195
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.979054,10.181075,9.5800645
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.184653,8.843794,8.5142235
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.855549,8.788936,8.3222425
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",7.118079,8.288968,7.7035235
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",9.775495,10.434636,10.1050655
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",11.082775,11.770033,11.426404
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",8.086118,9.353941,8.7200295
