"","sample","tissue","endometriosis","severity","p203113_s_at","p214394_x_at","p214395_x_at","EEF1D"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.399586,14.026736,4.116369,10.180897
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.545818,13.83921,7.35523,11.2467526666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.642187,13.781795,5.388926,10.6043026666667
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.994795,13.943617,3.63136,10.189924
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.674949,13.889968,3.864849,10.1432553333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.542266,14.127859,3.831759,10.1672946666667
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.832051,13.920462,6.395863,11.0494586666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.167373,14.184342,7.125256,11.4923236666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.847557,13.897829,3.86188,10.202422
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.634767,14.026405,3.937404,10.1995253333333
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.474975,13.900839,3.222127,9.86598033333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.61534,14.029475,6.441943,11.0289193333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.83702,13.881176,4.322847,10.013681
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.898192,14.127153,3.714823,10.2467226666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.71098,13.97878,3.552629,10.0807963333333
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.541047,13.801471,3.222127,9.85488166666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.413536,13.749938,3.609449,9.92430766666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.288511,13.877362,3.410718,9.85886366666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.59175,13.905438,3.973851,10.157013
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.940428,15.021936,8.206921,12.3897616666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.74969,14.746328,7.786643,12.0942203333333
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.045856,15.02879,7.631965,12.235537
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.279763,14.75024,7.880341,11.9701146666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.102574,15.013611,7.227292,12.1144923333333
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.110446,14.937678,6.387973,11.8120323333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.13043,15.079683,6.979797,12.0633033333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.0746,15.319351,8.988195,12.7940486666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.974622,14.746711,6.178093,11.633142
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.914446,14.693446,5.148333,10.9187416666667
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.208397,15.283213,8.344703,12.6121043333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.058173,15.247105,6.237389,11.8475556666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.000137,14.846428,5.422366,11.422977
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.095046,15.154266,7.315613,12.1883083333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.362181,15.197538,5.279257,11.612992
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.382381,14.400041,6.437113,11.4065116666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.24417,14.979452,6.726815,11.983479
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.369609,15.128806,8.825033,12.7744826666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.379147,14.506495,7.081079,11.6555736666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.12708,15.165252,8.844179,12.7121703333333
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.674583,15.152022,7.488966,12.1051903333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.710385,14.872966,7.811258,12.1315363333333
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.095157,15.105929,7.036473,12.0791863333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.275972,14.805499,8.280734,12.120735
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.589438,14.942055,7.710589,12.080694
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.123251,15.117257,6.937092,12.0592
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.17671,15.033255,8.699677,12.6365473333333
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.153813,15.452335,8.264083,12.6234103333333
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.630949,14.816535,7.798643,12.0820423333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.592039,14.782833,7.879774,12.084882
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.026106,15.188172,8.447122,12.5538
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.78806,15.135408,6.14073,11.688066
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.010566,15.006767,9.034691,12.684008
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",14.14868,15.256123,7.541272,12.3153583333333
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.119765,14.534621,4.222709,10.6256983333333
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.163951,15.041808,8.56288,12.5895463333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.404094,14.460208,8.217158,12.0271533333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.908924,15.143248,7.312758,12.1216433333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.65421,14.860832,7.296416,11.9371526666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.548947,14.436224,7.118072,11.701081
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.59396,14.680791,7.705836,11.993529
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.913925,14.789243,6.664088,11.7890853333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.710292,14.523647,7.466222,11.9000536666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.516666,14.727756,6.565777,11.6033996666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.006127,14.496002,6.552908,11.351679
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.446612,14.527157,6.285523,11.419764
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",14.16617,14.809135,5.608036,11.5277803333333
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",14.026731,14.766244,5.264961,11.3526453333333
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.424859,14.335394,7.45078,11.737011
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.207164,14.394089,6.024099,11.2084506666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.216297,14.309766,5.293204,10.9397556666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.25053,14.414335,5.81642,11.1604283333333
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.852564,14.102058,5.701265,10.8852956666667
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.395312,14.318781,5.734436,11.1495096666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.32851,14.260918,5.459328,11.016252
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.985873,14.215161,5.233821,10.8116183333333
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.683051,13.915453,5.225803,10.6081023333333
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.373012,14.325095,6.875415,11.5245073333333
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.004745,14.168951,5.654504,10.9427333333333
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.335157,14.35567,6.08715,11.2593256666667
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.930209,14.467761,5.559761,10.9859103333333
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.304888,14.351199,5.983011,11.2130326666667
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.481088,14.38635,6.814296,11.560578
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.999372,14.496002,6.74643,11.4139346666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.910225,14.489153,6.019397,11.1395916666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.81815,14.738039,7.042593,11.8662606666667
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.938333,14.962373,6.985332,11.9620126666667
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.119106,15.301968,7.517398,12.312824
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.044894,14.967634,6.179807,11.7307783333333
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.903294,14.873207,6.185487,11.653996
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.151043,14.935093,5.180387,11.4221743333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.293958,14.609834,6.824979,11.576257
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.292179,15.252565,7.504101,12.349615
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.980179,15.256238,6.964345,12.0669206666667
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.112302,14.47796,7.361014,11.6504253333333
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.391549,14.696453,8.028525,12.0388423333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.560538,14.835099,6.488771,11.628136
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.750669,14.8679,7.253001,11.95719
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.688077,14.908468,8.434293,12.3436126666667
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.020035,15.011297,7.669864,12.233732
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.095854,15.289084,8.374694,12.2532106666667
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.819813,14.828201,7.322801,11.9902716666667
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.938711,14.901233,7.37028,12.0700746666667
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.602899,14.923208,8.17513,12.2337456666667
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.097086,15.410115,7.309054,12.272085
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.311039,14.65633,7.652646,11.8733383333333
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.59508,14.880168,7.264243,11.9131636666667
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.966811,14.953593,7.002431,11.9742783333333
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.44484,14.711825,6.840607,11.6657573333333
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",14.045298,14.817118,7.227798,12.0300713333333
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.878528,15.161405,4.759646,11.2665263333333
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.055943,15.108339,6.084391,11.4162243333333
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.470389,14.671259,6.631392,11.5910133333333
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.915382,14.896645,7.382352,12.064793
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.562743,14.111771,3.681097,10.118537
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",11.909083,13.489848,2.933066,9.443999
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.485834,14.155525,3.075796,9.90571833333333
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.941853,14.352257,3.222127,10.172079
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.867516,13.873275,3.290604,10.010465
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.868567,14.022787,3.508102,10.133152
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.084413,14.304254,4.417998,10.6022216666667
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.774214,14.362051,4.293802,10.476689
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.059177,14.171863,4.234773,10.4886043333333
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.450435,13.860325,4.793855,10.368205
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.239334,13.83433,4.407091,10.1602516666667
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.025914,14.273467,5.123192,10.8075243333333
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.938482,13.896663,3.881869,9.90567133333333
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.862957,14.181116,4.267511,10.4371946666667
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.863263,14.201499,5.385108,10.8166233333333
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.756208,14.162737,5.462842,10.793929
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.748074,14.016312,4.342441,10.3689423333333
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.734766,14.257003,4.59698,10.529583
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.571647,13.952259,5.210425,10.5781103333333
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.527924,13.894232,4.430105,10.284087
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.749099,14.07503,5.19759,10.6739063333333
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.006882,14.195676,4.734562,10.6457066666667
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.417801,13.921845,5.171272,10.5036393333333
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.529251,13.893251,4.162224,10.1949086666667
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.962406,14.255647,5.428608,10.8822203333333
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.47228,13.873389,4.074116,10.1399283333333
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.094731,13.676932,3.901608,9.89109033333333
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.767979,14.000457,5.356514,10.7083166666667
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.813612,14.269446,4.434254,10.5057706666667
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.504381,14.295278,5.358943,10.719534
