"","sample","tissue","endometriosis","severity","p222498_at","p227905_s_at","p227904_at","p235962_at","AZI2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.074374,4.888381,3.719577,4.344456,5.006697
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.806869,6.303144,3.575258,4.078235,5.1908765
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.973988,4.214646,3.246223,3.342454,4.44432775
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.724377,4.663604,3.671157,3.846869,4.72650175
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.839479,7.366996,3.715712,3.919194,5.46034525
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.601147,5.480695,3.575258,3.514884,4.542996
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.242619,5.881106,3.246223,2.836131,4.30151975
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.366047,6.681778,3.671157,4.180128,5.2247775
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.783266,6.844769,3.671157,3.806427,5.27640475
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.201433,5.599514,3.742333,3.663241,4.80163025
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.777444,7.295399,3.715712,4.652597,5.360288
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.287239,6.52487,3.922285,3.514884,4.8123195
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.245744,5.927319,3.575258,4.109885,4.7145515
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.709371,6.399939,3.920473,3.923155,5.2382345
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.101832,6.386704,3.715712,4.109885,5.32853325
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.415827,6.141996,3.575258,4.171325,5.0761015
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.892793,5.976817,3.715712,4.636543,5.30546625
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.001674,6.649595,3.816925,4.002287,5.11762025
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.037136,6.769623,4.62867,5.212888,5.91207925
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.706149,3.669902,3.653953,3.653876,4.42097
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.347507,3.82644,3.715712,3.691415,4.3952685
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.532511,3.92802,4.320507,3.420867,4.55047625
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.016136,4.034821,3.715712,3.179,4.23641725
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.310907,3.812705,4.183728,3.362469,4.41745225
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.04563,3.272304,3.575258,3.403628,4.074205
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.804574,3.261021,2.298673,3.09118,3.613862
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.712162,3.406578,3.715712,3.514884,3.837334
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.249455,4.444786,3.715712,4.109885,4.8799595
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.575648,3.82644,3.476351,2.610144,4.12214575
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.749318,3.272304,3.671157,2.249135,3.9854785
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.448171,3.294953,3.671157,3.719942,4.03355575
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.620301,3.45626,3.671157,3.701338,4.362264
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.686959,4.405693,3.246223,3.514884,4.21343975
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.251969,3.095742,3.575258,3.681985,3.6512385
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.094677,4.657485,3.715712,5.361596,5.4573675
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.46418,4.405693,3.655265,3.387525,4.47816575
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.631748,3.735125,3.671157,2.236067,4.06852425
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.486969,3.912784,4.387121,4.109885,4.97418975
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.786705,3.144726,3.781757,3.514884,4.307018
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.087593,3.82644,3.565792,3.514884,4.24867725
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.235244,3.363838,3.897546,3.514884,4.502878
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.660771,3.876062,3.715712,2.988234,4.06019475
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.70626,3.261021,3.523856,3.400342,3.97286975
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.025315,3.608732,3.715712,3.514884,4.46616075
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.087975,3.527289,3.671157,3.460524,4.18673625
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.799816,3.519411,3.742333,3.403628,4.366297
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.762587,2.819596,3.742333,3.403628,3.682036
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.97064,3.427952,3.671157,3.89635,4.24152475
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.973968,3.261021,3.398957,2.718275,3.83805525
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.268981,3.261021,3.352051,2.915423,3.949369
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.742954,3.449729,3.575258,2.86449,3.90810775
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.619984,3.261021,3.575258,3.514884,3.99278675
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.030993,2.8346,3.575258,3.382811,4.2059155
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.557359,3.272304,3.281132,3.533238,4.16100825
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.710086,3.850942,4.005107,3.514884,4.77025475
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.833715,4.058104,5.084064,4.109885,5.521442
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.620963,3.516959,3.715712,3.853352,4.4267465
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.469867,3.993775,4.266468,4.164286,4.973599
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.345478,5.427686,4.776562,5.395179,5.98622625
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.75322,3.786214,3.713523,3.582611,4.458892
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.5739,3.997925,3.671157,3.968364,4.5528365
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.08849,4.585139,4.495714,4.737522,5.47671625
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.575326,4.788827,4.820192,4.368895,5.38831
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.552971,4.405693,4.884888,4.109885,5.23835925
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.046596,4.405693,4.13961,4.990421,5.39558
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.138008,3.82644,3.558383,3.434174,4.48925125
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.385911,4.410764,3.715712,4.312639,4.9562565
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.248189,6.663842,5.595174,5.532785,6.5099975
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.809562,6.586627,6.267846,5.974403,6.9096095
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.392157,6.123516,5.553678,5.908946,6.49457425
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.761272,6.319237,5.318809,6.240056,6.6598435
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.413645,6.007038,4.68199,5.541591,6.161066
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.577555,6.446881,5.833897,5.731687,6.647505
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.432387,6.407185,5.323325,5.415247,6.394536
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.628351,6.294307,5.118475,6.008271,6.512351
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.584846,6.144818,5.380627,6.363385,6.618419
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.402406,6.715747,5.742751,6.183124,6.761007
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.801957,6.542615,5.87543,6.079313,6.82482875
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.557394,6.144248,6.027854,5.717678,6.6117935
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.729091,4.405693,3.813217,5.636092,5.39602325
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.662511,5.908245,6.517934,5.439406,6.632024
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",8.439755,6.461523,6.176754,5.455834,6.6334665
