"","sample","tissue","endometriosis","severity","p209018_s_at","p209019_s_at","PINK1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.688696,7.176878,6.432787
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.320225,7.093856,6.2070405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.123338,6.937181,6.0302595
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.236607,7.947388,7.5919975
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.816766,7.279064,6.547915
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.879964,8.295977,7.5879705
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.248479,7.992979,7.120729
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.140198,7.329206,6.734702
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.932469,7.61814,6.7753045
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.644281,7.289866,6.9670735
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.808894,7.289866,6.54938
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.634873,7.38067,6.5077715
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.97808,6.598962,6.288521
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.694229,7.325942,6.5100855
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.425408,7.197239,6.3113235
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.518584,8.462357,7.9904705
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.106983,8.60153,7.8542565
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.995216,7.289866,7.142541
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.372285,7.289866,6.8310755
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.402153,9.412035,9.407094
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.083279,8.878587,8.480933
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.086206,9.188259,9.1372325
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.097583,8.282824,8.1902035
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.190151,9.126985,9.158568
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.216185,9.505008,9.3605965
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.011172,9.479376,9.245274
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.390468,9.251246,9.320857
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.168211,8.629053,8.398632
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.438521,9.012246,8.7253835
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.922517,9.606725,9.264621
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.461767,8.479934,8.4708505
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.041087,8.902819,8.471953
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.558088,9.719926,9.639007
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.960829,9.215322,9.0880755
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.089913,7.884488,7.4872005
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.762443,9.605481,9.683962
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.815722,9.18578,9.000751
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.266186,8.662766,8.464476
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.309625,8.67064,8.4901325
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.723653,9.874745,9.799199
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.497329,7.942318,7.7198235
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.51931,9.467937,9.4936235
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.367817,9.240873,8.804345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.200216,8.851501,8.5258585
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.072407,8.939157,9.005782
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.172153,8.589041,8.380597
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.059638,9.449121,9.2543795
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.999,9.238102,9.118551
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.574798,9.494248,9.534523
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.909481,8.655794,8.7826375
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.583556,8.603422,8.593489
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.608956,8.959539,9.2842475
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.856197,9.670114,9.2631555
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.35414,8.76701,8.560575
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.55566,9.14716,8.85141
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.236977,7.605309,6.921143
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.957361,9.073985,9.015673
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.736335,8.673668,8.7050015
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.32587,8.530018,8.427944
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.146177,8.964303,8.55524
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.704796,8.526413,8.6156045
