"","sample","tissue","endometriosis","severity","p223365_at","p223364_s_at","DHX37"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.765051,5.234093,5.999572
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.121833,5.302926,6.7123795
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.972523,6.114607,7.043565
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.467996,5.495555,6.9817755
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.730617,5.302926,6.5167715
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.229178,5.524039,6.8766085
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.837185,5.46911,6.6531475
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.730617,5.302926,6.5167715
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.862677,4.856557,6.359617
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.883246,5.366311,6.6247785
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.822825,5.302926,6.5628755
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.730617,4.556708,6.1436625
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.045899,5.271261,7.15858
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.812426,5.307065,6.5597455
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.471878,5.015129,6.2435035
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.603589,5.302926,6.4532575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.374325,5.827509,6.600917
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.739774,5.176089,6.4579315
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.730617,5.418907,6.574762
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.403683,7.328059,7.865871
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.89292,6.823182,7.858051
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.387911,7.429215,7.908563
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.052027,7.286074,8.1690505
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.15365,8.423528,8.788589
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.716208,7.924675,8.3204415
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.171726,7.436059,8.3038925
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.953029,7.500217,8.226623
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.072072,7.528298,7.800185
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.084734,6.107813,7.0962735
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.731556,7.941547,8.3365515
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.504013,8.517495,9.010754
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.841604,7.89374,8.367672
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.230648,8.23969,8.735169
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.373039,8.240512,8.8067755
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.730617,5.714979,6.722798
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.118337,8.09284,8.6055885
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.186716,7.451988,8.319352
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.952163,6.32258,7.1373715
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.915357,7.231287,8.073322
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.553701,7.83531,8.6945055
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.329878,7.198934,7.764406
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.359005,8.048963,8.703984
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.521493,6.740114,7.6308035
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.203768,6.513611,7.3586895
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.952568,7.822412,8.38749
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.379723,7.056773,7.718248
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.969649,7.851768,8.4107085
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.245136,7.479971,8.3625535
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.188921,7.355099,8.27201
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.590252,6.824457,7.7073545
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.007724,6.780272,7.893998
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.410434,7.955734,8.683084
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.661494,7.546783,8.1041385
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.282359,7.794523,8.038441
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.767621,7.681973,8.224797
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.360909,6.010078,6.6854935
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.467793,7.035789,7.751791
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.780618,6.691773,7.2361955
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.845022,6.905698,7.37536
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.517255,6.630613,7.573934
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.025613,7.06069,7.5431515
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.084824,7.086745,7.5857845
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.282528,7.01775,7.650139
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.682737,6.365915,7.024326
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.304798,5.78967,6.547234
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.071609,7.618733,7.845171
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.662801,7.637516,8.1501585
