"","sample","tissue","endometriosis","severity","p1556355_x_at","p228877_at","RGL3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.511083,5.658651,4.584867
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.448977,5.663893,4.556435
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.856596,5.663893,4.7602445
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.053077,7.395331,5.724204
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82781,5.389731,5.1087705
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.310766,7.413401,6.3620835
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.448977,7.008268,5.2286225
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.87253,5.663893,4.2682115
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.448977,5.786271,4.617624
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82781,6.808799,5.8183045
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.340989,6.275372,5.3081805
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.340989,6.811359,5.576174
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.162682,7.318048,6.240365
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.482815,6.658419,5.070617
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.00334,6.505671,5.2545055
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.587924,6.004901,5.2964125
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.340989,7.502519,5.921754
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.426949,6.901069,5.664009
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.946844,5.663893,4.8053685
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.761592,7.25587,6.508731
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.085219,6.671008,5.8781135
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.055237,7.261946,6.1585915
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.545182,7.731664,6.638423
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.162422,7.526918,6.34467
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.577623,6.879026,6.2283245
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.032466,6.992712,6.012589
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.329715,6.871706,6.6007105
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.387369,7.024872,6.2061205
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.559363,7.044001,6.301682
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.003627,8.006985,7.005306
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.973581,7.88686,7.4302205
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.048343,8.035123,6.541733
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.427335,8.184198,7.8057665
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.110105,5.775499,5.442802
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.543944,6.219225,5.3815845
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.210994,7.429885,7.3204395
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.163415,7.240127,7.201771
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.40713,6.724844,5.065987
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.628582,6.663829,6.1462055
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.762381,7.383934,7.0731575
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.112032,7.015022,6.563527
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.426353,7.053836,5.7400945
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82781,7.071429,5.9496195
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.003889,7.091589,6.047739
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.305625,7.731905,7.018765
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.82781,6.526808,5.677309
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.134555,8.446813,7.790684
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.617589,7.586431,6.60201
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.8659,7.184612,6.525256
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.80097,6.565941,6.6834555
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.059246,6.531377,5.7953115
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.949442,6.817257,6.8833495
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.054298,7.818593,6.9364455
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.314259,7.994893,7.154576
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.262464,7.228769,5.7456165
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.82781,5.56126,5.194535
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.605129,7.65223,7.1286795
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.82781,7.04868,5.938245
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.789668,6.687076,5.238372
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.365042,7.010949,5.6879955
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.269216,7.053937,6.1615765
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.601167,6.860987,5.231077
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.82781,7.138035,5.9829225
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.98632,6.222137,5.1042285
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.281445,5.996223,5.138834
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.625985,6.658164,5.6420745
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.881223,6.284281,5.582752
