"","sample","tissue","endometriosis","severity","p202657_s_at","p202656_s_at","SERTAD2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.737438,4.887878,5.812658
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.465979,3.736515,4.601247
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.055371,2.841885,4.448628
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.601556,4.664413,5.1329845
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.402254,4.851146,5.1267
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.377227,4.918113,5.64767
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.383049,3.890217,4.136633
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.590658,4.048004,5.319331
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.556578,5.198735,5.8776565
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.380861,4.141961,5.261411
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.541181,4.14668,5.3439305
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.132095,5.985114,6.5586045
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.644458,3.86725,5.255854
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.027874,7.221585,7.1247295
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.172776,5.235679,5.7042275
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.546643,6.021366,6.2840045
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.277245,5.749266,6.0132555
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.758254,5.117579,5.9379165
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.557679,5.623853,6.090766
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.455356,5.872429,6.1638925
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.39038,6.258116,6.824248
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.77601,5.097292,5.936651
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.181892,8.068004,7.624948
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.166599,5.148836,5.6577175
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.808956,4.51063,4.659793
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.765594,4.670454,5.218024
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.47566,2.85301,4.164335
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.976664,5.988718,6.482691
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.449993,6.011037,6.730515
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.218096,4.915815,5.0669555
