"","sample","tissue","endometriosis","severity","p226046_at","p229664_at","MAPK8"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.473735,6.809052,6.6413935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.786217,6.628515,6.707366
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.294823,6.698574,5.9966985
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.008295,6.700534,6.3544145
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.246103,6.25376,6.7499315
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.177867,6.7226,6.9502335
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.26062,6.454118,5.857369
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.730586,6.597534,6.66406
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.573165,7.438972,7.0060685
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.105903,6.352595,6.729249
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.895924,6.96607,6.930997
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.300601,7.369818,7.3352095
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.100712,6.871846,6.486279
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.647081,7.186557,7.416819
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.169798,6.761292,6.465545
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.375156,6.739804,7.05748
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.249038,6.649516,6.949277
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.946213,6.664293,6.805253
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.658889,6.279446,5.9691675
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.853851,5.676608,5.2652295
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.332947,5.126465,4.729706
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.90777,4.418248,4.163009
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.894842,5.579454,5.737148
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.120456,4.719018,4.419737
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.561668,4.564698,4.063183
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.150667,3.282634,3.7166505
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.561668,2.946668,3.254168
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.074116,5.499283,5.2866995
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.853851,4.939327,4.896589
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.888947,4.598662,4.2438045
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.115397,4.086844,4.1011205
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.161736,5.506293,5.3340145
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.561668,3.066017,3.3138425
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.674927,4.331559,4.003243
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.833492,6.970917,6.4022045
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.450338,5.203561,4.8269495
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.143345,5.128439,4.635892
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.935955,6.5123,6.2241275
