"","sample","tissue","endometriosis","severity","p218090_s_at","p229694_at","WDR11"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.001543,7.734444,8.8679935
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.719121,7.611988,8.1655545
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.651895,7.790184,8.2210395
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.482333,7.855579,8.668956
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.534377,7.933005,8.733691
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.980815,7.410549,8.695682
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.478113,8.347915,7.913014
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.130147,9.234658,9.1824025
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.589135,9.481702,9.5354185
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.853302,7.42634,8.639821
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.554051,8.136161,8.845106
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.979282,8.00779,8.993536
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.939263,8.762025,8.850644
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.755588,8.930794,9.343191
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.835119,9.924625,9.879872
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.76943,9.875018,9.822224
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.142648,10.038623,10.0906355
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.538882,8.42461,8.981746
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.816321,8.415697,9.116009
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.27454,9.021838,8.648189
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.172651,7.503313,7.837982
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.98524,6.868517,7.4268785
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.350542,7.784409,8.0674755
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.705057,5.676483,6.69077
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.680361,7.786576,7.7334685
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.218092,8.180393,7.6992425
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.195558,5.396989,6.2962735
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.536963,7.418346,7.9776545
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.466418,8.383452,8.424935
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.415229,6.925456,7.1703425
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.150027,6.42724,6.7886335
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.377233,7.770313,8.073773
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.946331,5.922786,5.9345585
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.63807,6.304501,6.4712855
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.949415,7.691465,8.82044
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.382573,7.737705,8.060139
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.014429,8.533658,8.2740435
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.732057,7.647384,8.1897205
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.98893,7.713338,7.851134
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.580992,7.713338,7.647165
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.839111,8.340872,8.5899915
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.883513,5.386925,6.135219
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.923744,6.848946,7.386345
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.18338,7.778922,8.481151
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.718742,6.259739,6.9892405
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.861192,8.200347,8.5307695
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.612167,5.676483,6.644325
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.54351,7.238067,7.8907885
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.673279,8.188647,7.930963
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.144925,7.791942,7.4684335
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.17299,7.163425,7.1682075
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.682075,6.982845,7.33246
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.387738,7.269436,7.828587
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.769158,8.508847,8.1390025
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.171817,6.967383,7.5696
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.921913,7.973778,8.9478455
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.619489,6.72181,7.6706495
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.53369,7.47189,8.50279
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.838347,7.593478,8.7159125
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.24586,7.014574,7.630217
