"","sample","tissue","endometriosis","severity","p223438_s_at","p223437_at","p226978_at","PPARA"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.434948,6.04871,7.224398,6.23601866666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.131701,5.81967,6.235575,6.06231533333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.82757,4.997574,5.874139,5.23309433333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.971277,6.01511,6.658466,6.214951
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.881918,5.902857,6.753961,6.512912
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.801544,5.81967,6.843418,6.15487733333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.660389,5.266134,5.874139,5.60022066666667
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.702042,5.684622,6.669178,6.018614
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.719728,6.347143,7.688977,6.918616
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.572011,6.45194,6.727482,6.25047766666667
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.888884,5.824344,6.714302,6.14251
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.35719,5.81967,6.068786,5.74854866666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.261014,5.266134,6.727482,5.75154333333333
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.981754,5.597233,6.036006,5.538331
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.453916,6.771729,6.843418,6.68968766666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.683008,6.33903,6.727482,6.58317333333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.155808,6.775223,6.843418,6.591483
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.762457,6.711618,7.204384,6.89281966666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.92392,5.848182,6.843418,6.20517333333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.822161,5.054243,6.962683,5.27969566666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.600586,6.023193,7.368684,5.99748766666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.030048,5.266134,6.625915,5.30736566666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.696295,5.070882,7.390493,5.38589
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.728025,5.346774,7.322003,5.798934
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.460027,5.13935,6.600884,5.06675366666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.896256,5.397356,6.933698,5.40910333333333
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.783601,5.070882,6.38993,5.081471
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.178456,5.563824,7.16635,5.63621
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.665651,6.591,7.730583,6.329078
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.696295,5.334157,7.123486,5.384646
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.242863,5.529066,7.349037,5.70698866666667
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.44679,5.519684,6.295475,5.08731633333333
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.696295,5.070882,6.296742,5.02130633333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.696295,5.070882,6.267956,5.011711
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.017039,6.892781,8.255185,7.05500166666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.733006,5.703952,6.680412,5.70579
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.870734,5.091908,6.792504,5.25171533333333
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.493983,6.078198,7.690963,6.08771466666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.696295,4.57638,6.787858,5.02017766666667
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.001127,5.354933,7.414161,5.59007366666667
