"","sample","tissue","endometriosis","severity","p244462_at","p216991_at","p216983_s_at","p220019_s_at","p229123_at","ZNF224"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.774066,2.236067,5.497525,3.907013,6.255616,4.9340574
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.920561,2.236067,6.747458,3.357358,5.470029,4.7462946
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.082942,2.236067,5.560498,3.169113,5.642732,4.3382704
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.359501,2.236067,6.504054,4.161042,5.298686,4.91187
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.335692,2.236067,4.907523,4.333548,5.873925,4.937351
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.759177,2.236067,5.583474,3.414235,5.472571,4.6931048
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.460509,2.236067,6.809428,3.169113,4.377454,4.4105142
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.008836,2.236067,5.952568,3.52968,5.045414,4.554513
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.910605,2.236067,6.170675,4.318783,5.918349,5.1108958
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.167427,2.236067,5.941364,3.789592,4.933217,4.6135334
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.610557,2.236067,5.826586,3.920973,5.184354,4.7557074
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.673549,2.236067,6.041253,3.986439,5.253885,4.8382386
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.839866,2.236067,5.05627,3.445231,6.096301,4.534747
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.920561,2.236067,5.446004,3.252725,5.408298,4.452731
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.494012,2.236067,5.419648,3.285375,6.72601,4.8322224
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.957309,2.236067,6.21514,4.071669,5.910919,5.0782208
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.070562,2.236067,6.736509,3.932898,5.953703,5.1859478
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.684877,2.236067,5.853712,4.091245,4.933217,4.7598236
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.017334,2.236067,5.256206,3.27012,4.933217,4.3425888
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.572032,2.236067,6.062562,2.821806,3.965586,4.1316106
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.95206,2.236067,4.753676,2.678767,3.680118,3.6601376
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.67211,2.236067,4.958688,2.699734,2.64118,3.6415558
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.174405,2.236067,3.652598,2.699734,4.373399,3.4272406
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.002211,2.236067,3.652598,3.030506,3.410159,3.4663082
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.104316,2.236067,4.844956,3.169113,2.250559,3.3210022
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.417119,2.236067,6.074776,2.699734,3.768124,4.039164
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.803343,2.236067,3.412636,3.169113,3.410159,3.6062636
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.67211,2.236067,3.996186,2.93835,4.428967,3.854336
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.086569,2.236067,5.381739,2.597917,4.117656,3.8839896
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.19318,2.236067,4.594192,2.912349,3.496105,3.6863786
