"","sample","tissue","endometriosis","severity","p219940_s_at","p225149_at","PCID2"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.962322,6.43064,7.196481
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.072091,5.4169,6.7444955
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.535541,5.030418,6.2829795
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.442658,6.390302,6.91648
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.012726,6.75313,7.382928
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.452861,6.338282,6.8955715
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.50358,5.465031,6.4843055
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.0439,6.370828,7.207364
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.035817,6.729365,7.382591
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.853307,6.443283,7.148295
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.872202,6.219172,7.045687
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.006219,6.069451,7.037835
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.228725,6.083179,6.655952
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.631227,6.02613,6.8286785
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.690413,5.7935,6.7419565
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.688219,6.526396,7.1073075
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.941491,6.435914,7.1887025
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.425333,6.084905,6.755119
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.601056,5.999623,6.8003395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.502019,4.577496,5.5397575
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.825544,4.623578,5.724561
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.402683,5.016965,5.709824
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.967987,4.658705,5.313346
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.486665,4.877315,5.68199
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.967375,4.498445,5.23291
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.967987,4.498445,5.233216
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.046123,4.498445,5.272284
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.989304,5.394527,6.1919155
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.403121,4.498445,5.450783
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.985322,4.498445,5.2418835
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.094315,4.498445,5.29638
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.376392,4.503749,5.4400705
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.577648,4.498445,5.0380465
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.967987,4.498445,5.233216
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.066182,6.947203,7.5066925
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.09114,4.498445,5.2947925
