"","sample","tissue","endometriosis","severity","p202021_x_at","p212227_x_at","p212130_x_at","p211956_s_at","EIF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.645102,12.877035,12.623991,14.128649,13.06869425
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.321646,13.302448,12.8365,14.343664,13.4510645
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.110291,13.005782,12.662278,14.007704,13.19651375
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.003567,13.966215,13.5935,14.511205,14.01862175
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.355681,12.656343,12.165243,14.061256,12.80963075
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.293531,13.456625,12.963158,14.424058,13.534343
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.524385,13.619487,13.223118,14.159398,13.631597
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.148077,13.109586,12.774521,14.202737,13.30873025
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.033379,13.026123,12.719988,14.248693,13.25704575
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",14.095532,14.158365,13.549095,14.488366,14.0728395
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.80595,12.914446,12.484973,13.948502,13.03846775
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.432526,13.465447,12.8365,14.251287,13.49644
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.391677,13.461413,13.12157,14.003762,13.4946055
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.887541,13.065247,12.608887,14.125683,13.1718395
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.211601,13.15215,12.694093,14.19897,13.3142035
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.534779,13.570999,13.138682,14.377283,13.65543575
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.951125,13.998469,13.462477,14.63171,14.01094525
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.050118,13.449371,12.8365,14.222591,13.389645
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.340809,13.518267,13.01872,14.431162,13.5772395
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.983585,13.985659,13.72672,15.034674,14.1826595
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.356945,13.412309,13.071179,14.861909,13.6755855
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.745856,13.775443,13.473922,15.071635,14.016714
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",12.494257,12.412416,12.239843,14.768429,12.97873625
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.694127,13.668376,13.424947,14.747876,13.8838315
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.592156,13.616342,13.247715,14.955898,13.85302775
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.125863,13.134452,12.916894,14.769052,13.48656525
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.463017,12.478285,12.118463,14.710351,12.942529
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.116485,13.104221,12.843896,14.902819,13.49185525
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.562064,13.566528,13.357158,14.784456,13.8175515
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.49819,13.497714,13.221062,14.910667,13.78190825
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.431024,12.440275,12.174349,14.555537,12.90029625
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.081395,13.087539,12.8365,14.835072,13.4601265
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.079808,13.074434,12.837139,14.684778,13.41903975
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.755517,12.786279,12.463934,14.810872,13.2041505
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.189268,13.222054,12.875541,14.741642,13.50712625
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.521895,13.551456,13.218376,15.12383,13.85388925
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.090171,13.077965,12.836727,14.8267,13.45789075
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.544321,13.525328,13.3203,15.000871,13.847705
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.069347,12.999981,12.795336,14.94929,13.4534885
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.090747,12.974525,12.840032,14.82567,13.4327435
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.157897,12.883399,12.948071,14.82582,13.45379675
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.552188,13.80787,13.284527,14.951534,13.89902975
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.499591,13.425678,13.209198,15.014127,13.7871485
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.466154,13.428195,13.185577,14.847722,13.731912
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.781105,13.75207,13.470613,15.005956,14.002436
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.61555,12.66904,12.374553,14.827421,13.121641
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.0074,12.983174,12.744408,14.778614,13.378399
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.100175,12.991662,12.8365,14.921128,13.46236625
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.680402,13.693558,13.428868,15.020891,13.95592975
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.859353,12.817322,12.596925,14.781871,13.26386775
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.053944,13.19579,13.025485,14.808431,13.5209125
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.099155,13.101604,12.753846,14.863177,13.4544455
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.005201,13.024923,12.863281,14.983735,13.469285
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.103402,13.121714,12.853191,14.953427,13.5079335
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.494376,13.433974,13.214261,14.911103,13.7634285
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.281873,13.06808,12.983053,14.925529,13.56463375
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.058778,13.044749,12.763666,14.759616,13.40670225
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.793051,13.778048,13.527626,15.088625,14.0468375
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.441399,13.435034,13.16844,14.844385,13.7223145
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.471861,13.453774,13.185449,14.893286,13.7510925
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.107402,13.119845,12.841012,14.804191,13.4681125
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.4988,13.45077,13.214038,14.999969,13.79089425
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.82834,13.728899,13.514145,14.926577,13.99949025
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.012913,12.936143,12.70111,14.842677,13.37321075
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.642845,13.6934,13.388982,14.898968,13.90604875
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",13.184816,13.228581,12.8365,14.762451,13.503087
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.184133,13.187397,12.868564,14.729141,13.49230875
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.436804,12.485261,12.15596,14.412731,12.872689
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.813711,12.794401,12.532734,14.606885,13.18693275
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.309467,12.228102,12.014067,14.489469,12.76027625
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.945366,12.951088,12.59774,14.745041,13.30980875
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.113563,13.118087,12.887892,14.693191,13.45318325
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.57733,12.56624,12.345929,14.605863,13.0238405
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.61091,12.746831,12.398453,14.712057,13.11706275
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.522484,12.634407,12.398273,14.679318,13.0586205
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.189637,13.138336,12.868351,14.671795,13.46702975
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.588847,12.606119,12.35846,14.470839,13.00606625
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.488806,13.507231,13.109781,14.902504,13.7520805
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.548931,12.581666,12.365731,14.739677,13.05900125
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.057635,13.068682,12.8365,14.554957,13.3794435
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.374539,12.502773,12.193218,14.746782,12.954328
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.440856,12.540149,12.179215,14.574751,12.93374275
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.993583,13.979393,13.740344,14.961062,14.1685955
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.583735,13.62039,13.309621,14.990291,13.87600925
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.721831,12.777698,12.44629,14.66022,13.15150975
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.549955,13.52978,13.24584,14.938834,13.81610225
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.926742,12.884488,12.721339,14.818755,13.337831
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.563872,13.612746,13.250085,14.892273,13.829744
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.722596,12.801403,12.514301,14.739532,13.194458
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.121577,13.064444,12.933487,14.81586,13.483842
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.592684,13.599568,13.31949,14.936225,13.86199175
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.314122,12.392689,12.103767,14.650281,12.86521475
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.773815,13.733553,13.48529,15.071635,14.01607325
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.718918,13.767606,13.489169,14.921701,13.9743485
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.149794,13.075744,12.925633,14.889972,13.51028575
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.433722,13.425475,13.21135,14.919598,13.74753625
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.231601,13.191828,12.933641,14.97923,13.584075
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.82558,13.783663,13.512321,14.868198,13.9974405
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.257437,12.225946,12.013921,14.705134,12.8006095
"100","GSM1256752","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.702451,12.366313,12.634044,14.725353,13.10704025
"101","GSM1256753","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.876607,12.942375,12.714128,14.699025,13.30803375
"102","GSM1256754","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.287414,13.270642,12.957644,14.619509,13.53380225
"103","GSM1256755","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.046247,12.895817,12.792979,14.942985,13.419507
"104","GSM1256756","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.836135,12.7951,12.56685,14.795676,13.24844025
"105","GSM1256757","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.367454,13.345126,13.131941,14.892097,13.6841545
"106","GSM1256758","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.480273,13.452641,13.196138,14.86481,13.7484655
"107","GSM1256759","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.072287,13.034446,12.8365,14.76049,13.42593075
"108","GSM1256760","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.915979,12.958391,12.720213,14.859864,13.36361175
"109","GSM1256761","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.768631,12.712994,12.504411,14.693186,13.1698055
"110","GSM1256762","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.337126,13.357614,13.058277,14.689339,13.610589
"111","GSM1256763","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.542368,12.578947,12.400222,14.731688,13.06330625
"112","GSM1256764","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.974117,12.9273,12.747113,14.770732,13.3548155
"113","GSM1256765","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.779134,13.785959,13.540668,14.85901,13.99119275
"114","GSM1256766","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.35136,13.511446,12.8365,14.542265,13.56039275
"115","GSM1256767","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.164629,13.403195,12.922531,14.530911,13.5053165
"116","GSM1256768","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.605736,13.787828,13.308452,14.57121,13.8183065
"117","GSM1256769","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.636735,13.689497,13.034046,14.546676,13.7267385
"118","GSM1256770","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.623732,12.707519,12.290207,13.972838,12.898574
"119","GSM1256771","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.776843,12.962636,12.494089,13.899782,13.0333375
"120","GSM1256772","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.582877,12.630642,12.282151,13.965827,12.86537425
"121","GSM1256773","Unknown","Endometriosis","Moderate/Severe",12.489298,12.53705,12.493737,14.34128,12.96534125
"122","GSM1256774","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.724488,12.685875,12.518533,14.359787,13.07217075
"123","GSM1256775","Unknown","Endometriosis","Minimal/Mild",12.812067,12.902163,12.617268,14.388252,13.1799375
"124","GSM1256776","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.870223,12.836144,12.597319,14.493609,13.19932375
"125","GSM1256777","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",13.020156,13.025527,12.756268,14.501955,13.3259765
"126","GSM1256778","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",13.154059,13.002109,12.856257,14.641186,13.41340275
"127","GSM1256779","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.621928,12.547055,12.333026,14.634443,13.034113
"128","GSM1256780","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.468955,13.5034,13.180193,14.803116,13.738916
"129","GSM1256781","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",13.283818,13.317718,12.966172,14.753185,13.58022325
"130","GSM1256782","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.108794,12.1573,11.884618,14.000203,12.53772875
"131","GSM1256783","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.197833,13.141827,12.849484,14.708147,13.47432275
"132","GSM1256784","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.678965,12.644519,12.375815,14.484869,13.046042
"133","GSM1256785","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.400297,12.511311,12.134949,14.453989,12.8751365
"134","GSM1256786","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.403493,12.348646,12.145658,14.440002,12.83444975
"135","GSM1256787","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.719541,12.615259,12.365429,14.6154,13.07890725
"136","GSM1256788","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.752074,12.776389,12.507028,14.751964,13.19686375
"137","GSM1256789","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.754649,12.842784,12.500825,14.484307,13.14564125
"138","GSM1256790","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.481671,13.512921,13.202685,14.542832,13.68502725
"139","GSM1256791","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",13.327804,13.31617,12.983542,15.053085,13.67015025
"140","GSM1256792","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.994954,12.974653,12.690414,14.624992,13.32125325
"141","GSM1256793","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.417801,12.455002,12.166456,14.509368,12.88715675
"142","GSM1256794","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",12.58501,12.573266,12.310343,14.416269,12.971222
"143","GSM1256795","Late Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",13.901316,14.001325,13.693745,14.855593,14.11299475
"144","GSM1256796","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.501388,12.512735,12.169437,14.552888,12.934112
"145","GSM1256797","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.910656,13.001284,12.705364,14.850249,13.36688825
"146","GSM1256798","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.599095,12.579229,12.257177,14.517417,12.9882295
"147","GSM1256799","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.433755,12.460293,12.204309,14.553227,12.912896
"148","GSM1256800","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",12.40991,12.492536,12.225846,14.468023,12.89907875
