"","sample","tissue","endometriosis","severity","p1558949_at","p226691_at","p229257_at","TNRC18"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.230782,9.989796,2.930789,5.383789
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.517615,9.703206,2.907211,5.04267733333333
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.043176,9.401211,2.625788,5.356725
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.129728,10.089912,3.541918,5.92051933333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.736611,9.623071,2.930789,5.430157
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.230782,9.788696,3.501328,5.50693533333333
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.838817,9.510985,3.518439,5.622747
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.279607,9.668927,2.930789,5.29310766666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.279607,10.227663,2.907211,5.47149366666667
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.230782,9.583976,3.281751,5.365503
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.279607,9.651044,2.907211,5.27928733333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.230782,10.053815,2.930789,5.40512866666667
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.559249,10.426852,2.930789,5.30563
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.279607,10.334708,2.905697,5.50667066666667
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.884695,10.154916,2.720137,5.58658266666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.96435,10.42794,2.930789,5.77435966666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.822841,10.254663,3.209202,5.76223533333333
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.340859,10.174525,3.152942,5.55610866666667
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,10.363856,3.008574,5.83471566666667
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.653366,10.930257,5.639856,7.40782633333333
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.739269,10.060906,5.278921,6.693032
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",5.045289,10.396225,5.49928,6.98026466666667
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.792439,9.171711,5.795532,6.25322733333333
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.003609,10.881706,6.15668,7.34733166666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.800516,11.049764,5.998593,7.28295766666667
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.714647,11.347308,5.01978,7.69391166666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.913988,10.51655,5.235985,6.55550766666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.790116,10.893131,4.928488,6.87057833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.261507,10.117512,3.718743,6.03258733333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.390812,10.823616,4.843945,7.352791
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.73207,10.395036,5.028286,6.718464
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.251331,11.042896,5.685608,7.32661166666667
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.329824,11.263017,5.464602,7.68581433333333
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.382078,11.242118,5.510932,7.04504266666667
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.537776,9.980954,3.718743,5.74582433333333
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.659484,11.268314,6.032466,7.320088
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.429608,10.958656,5.45906,7.61577466666667
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.253141,9.643367,4.371695,6.089401
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.008028,10.339631,5.164292,6.837317
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.489746,11.028352,6.727513,8.08187033333333
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.677855,10.061801,4.496115,6.41192366666667
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.821489,10.586486,6.371552,6.926509
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.287672,10.127175,4.29913,6.57132566666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.000135,9.532676,5.374684,6.30249833333333
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.460706,11.010476,5.600345,7.35717566666667
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.639478,9.897258,4.774558,6.437098
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,10.404926,5.588941,6.708528
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.919108,9.935642,5.807249,6.887333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.333288,10.650439,5.129349,7.037692
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.45162,10.316153,5.282223,7.01666533333333
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.091614,10.760687,5.08004,6.977447
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.165809,10.063962,5.423586,6.551119
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.219328,10.168446,5.263406,7.21706
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.839343,10.523737,5.505944,7.28967466666667
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.523288,10.142121,4.184077,6.61649533333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.038942,8.909091,3.268915,5.40564933333333
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.894126,10.630653,5.354888,6.959889
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.003528,10.029921,5.153692,6.39571366666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,9.43077,4.107076,5.88985433333333
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.131717,9.78559,4.385648,6.100985
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.131717,10.304465,4.887809,6.44133033333333
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.620106,9.685097,4.769001,6.02473466666667
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.804882,9.863472,5.349571,6.67264166666667
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.363987,9.3994,4.501312,5.75489966666667
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.624861,9.629426,3.990393,6.08156
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.001365,11.328414,4.467366,7.265715
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.279607,10.667505,4.976665,6.30792566666667
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.381849,8.705972,3.016343,5.03472133333333
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,8.909091,2.907211,5.01569466666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.597309,9.193837,2.928115,5.23975366666667
"71","GSM1256723","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.390602,8.564122,3.526325,5.16034966666667
"72","GSM1256724","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.275957,9.128125,2.683056,5.029046
"73","GSM1256725","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",4.225947,8.909091,2.625788,5.25360866666667
"74","GSM1256726","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.545994,8.732729,2.930789,5.06983733333333
"75","GSM1256727","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.279607,8.608224,2.9926,4.96014366666667
"76","GSM1256728","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,8.754318,2.890412,4.958504
"77","GSM1256729","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.275957,8.736107,2.950979,4.987681
"78","GSM1256730","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.279607,8.814199,3.70152,5.26510866666667
"79","GSM1256731","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,8.48403,3.793407,5.16940633333333
"80","GSM1256732","Mid-Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,9.306526,2.907211,5.148173
"81","GSM1256733","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.275957,8.569067,3.049583,4.964869
"82","GSM1256734","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",3.230782,8.833343,3.125482,5.06320233333333
"83","GSM1256735","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.314555,10.157789,4.551867,6.34140366666667
"84","GSM1256736","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.317807,9.008206,3.956612,5.42754166666667
"85","GSM1256737","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.50921,9.802628,4.330784,5.880874
"86","GSM1256738","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.286527,10.64796,5.548927,7.161138
"87","GSM1256739","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",6.509365,11.522577,6.099806,8.043916
"88","GSM1256740","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.004844,10.907363,5.520797,7.14433466666667
"89","GSM1256741","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.131987,10.20395,5.123306,6.48641433333333
"90","GSM1256742","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.444006,10.823642,5.367417,7.21168833333333
"91","GSM1256743","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.131717,10.385852,5.214638,6.57740233333333
"92","GSM1256744","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.829963,10.941278,5.832687,7.53464266666667
"93","GSM1256745","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.616116,10.90627,6.796262,7.43954933333333
"94","GSM1256746","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.131717,10.121738,4.617195,6.29021666666667
"95","GSM1256747","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.905416,10.385795,5.155029,6.81541333333333
"96","GSM1256748","Proliferative Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",4.906742,10.023252,5.559276,6.82975666666667
"97","GSM1256749","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",3.302673,9.468862,4.528938,5.76682433333333
"98","GSM1256750","Mid-Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.858843,10.702637,5.597331,7.38627033333333
"99","GSM1256751","Early Secretory Endometrial tissue","Non-Endometriosis","Uterine Pelvic Pathology",5.794972,10.227076,4.86737,6.96313933333333
