"","sample","tissue","endometriosis","severity","p202489_s_at","p202488_s_at","FXYD3"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.415837,5.932811,6.174324
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.1793,5.500181,6.3397405
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.24241,6.128463,4.6854365
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.909405,8.586171,9.247788
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.489453,5.762171,5.125812
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.356126,7.366896,8.361511
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.664911,8.302475,8.983693
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.538917,5.970627,5.754772
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.148305,5.604763,6.376534
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.523462,8.329454,8.926458
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.703975,5.970627,6.337301
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.136628,5.350011,6.2433195
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.489753,8.48477,8.9872615
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.80696,5.569838,5.188399
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.150124,5.566962,6.358543
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.857546,8.407852,9.132699
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.204315,8.455488,9.3299015
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.54662,7.29922,8.42292
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.99725,8.186206,8.591728
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.060764,10.756396,11.40858
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.077424,7.696623,8.8870235
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.256872,9.948269,10.6025705
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.86281,6.997821,7.9303155
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.894602,9.495739,10.1951705
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.391125,8.1706,9.7808625
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.598335,7.302585,8.95046
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.631695,8.360022,9.4958585
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.70278,7.373022,8.537901
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.48277,8.29395,9.38836
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.728722,7.759071,8.7438965
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.38648,7.842789,8.6146345
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.465285,5.916296,7.1907905
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.573353,8.088552,8.8309525
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.994631,7.300331,8.647481
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.958114,7.079194,8.018654
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.573369,8.58998,9.5816745
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.226928,7.634501,8.9307145
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.576526,7.742685,8.6596055
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.757378,7.053367,8.4053725
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.077231,9.565996,10.8216135
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.277543,6.204204,7.7408735
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.292108,7.18968,8.240894
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.611369,9.183612,10.3974905
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.883437,9.047726,9.9655815
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.833283,9.192799,10.013041
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.897055,7.697063,8.797059
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.60456,7.965744,8.785152
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.362738,6.554602,7.95867
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.860175,10.708751,11.284463
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",10.743463,7.524234,9.1338485
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.613456,6.679391,8.1464235
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.944336,10.72603,11.335183
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",12.199032,9.663443,10.9312375
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.286494,6.878395,8.0824445
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.906223,7.238006,8.0721145
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.415533,6.376273,7.895903
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.784018,8.993053,9.8885355
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.821493,9.510829,10.166161
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.120883,9.348619,10.234751
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.73875,7.669932,8.704341
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",9.9728,7.811951,8.8923755
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.815008,8.345546,9.080277
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",10.274772,8.102461,9.1886165
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.983519,5.970627,7.477073
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.894098,6.027179,6.9606385
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.601298,6.111302,6.8563
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.377418,7.184401,7.7809095
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",6.709212,5.970627,6.3399195
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.729213,7.160025,8.444619
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",7.427236,5.784754,6.605995
