"","sample","tissue","endometriosis","severity","p1554703_at","p216620_s_at","ARHGEF10"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.771045,6.004752,6.3878985
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.423029,6.145828,6.2844285
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.782394,7.632965,7.2076795
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.188098,7.184766,7.186432
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.027528,6.467936,6.247732
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.777269,7.114066,6.9456675
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.154248,5.624297,5.8892725
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.589483,7.144902,6.8671925
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.593144,7.299641,7.4463925
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.872699,5.649629,5.261164
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.611251,6.47156,6.5414055
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.697842,6.450776,6.574309
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.605713,5.873104,6.7394085
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.262003,7.348342,7.3051725
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.909768,6.482749,6.6962585
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.206257,6.606217,6.906237
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.944725,7.173486,7.5591055
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.184441,6.611063,6.897752
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.378045,6.030167,6.204106
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.165503,6.199647,6.182575
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.359002,5.921863,5.6404325
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.355214,6.104574,6.229894
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.917643,6.339121,6.628382
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.230179,6.533513,5.881846
