"","sample","tissue","endometriosis","severity","p210191_s_at","p215285_s_at","PHTF1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.948944,3.213127,4.0810355
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.902396,3.147203,4.5247995
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.685068,2.962343,4.3237055
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.9496,2.605199,3.7773995
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.211289,4.66851,5.9398995
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.850956,2.716786,3.783871
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.68894,2.675945,2.6824425
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.003646,3.309726,4.656686
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.493684,4.011829,4.7527565
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.912304,4.082508,4.997406
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.755837,4.484689,5.620263
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.359737,3.845617,4.602677
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.142305,3.007872,3.5750885
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.451354,5.105259,5.7783065
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.997129,2.950385,4.473757
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.017126,3.167578,4.592352
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.714363,2.950385,4.332374
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.430811,2.950385,3.690598
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.922719,2.821802,3.8722605
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.331517,2.703835,3.517676
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.815057,2.521453,3.168255
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.542799,2.688898,3.1158485
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.806175,2.236067,3.021121
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.142305,2.675945,3.409125
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.554104,2.605199,2.5796515
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.554104,2.236067,2.3950855
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.79396,2.755832,2.774896
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.687969,3.880819,4.784394
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.702967,2.330958,2.5169625
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.111758,2.675945,3.3938515
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.554104,2.688898,2.621501
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.521792,3.263827,3.8928095
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.142305,2.675945,3.409125
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.275114,2.716786,2.99595
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.218098,3.309757,4.2639275
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.142305,2.657163,3.399734
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",3.14607,2.738904,2.942487
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.231202,3.38442,3.807811
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.515933,2.948119,2.732026
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.554104,2.605199,2.5796515
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.142305,2.716786,3.4295455
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.565954,2.913985,2.7399695
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.554104,2.605199,2.5796515
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.554104,2.638004,2.596054
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",2.554104,2.831985,2.6930445
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.993469,2.716786,2.8551275
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",2.847773,2.716786,2.7822795
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.671689,2.675945,3.173817
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.48799,2.605199,3.0465945
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",2.624678,2.675945,2.6503115
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.868476,2.716786,3.292631
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.145302,2.251705,2.6985035
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",2.515933,2.605199,2.560566
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.915298,2.777162,3.84623
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.43691,2.892217,3.6645635
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.443109,3.145651,3.79438
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.919048,2.700976,3.310012
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.755487,2.878056,3.8167715
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.780297,4.689358,5.2348275
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",3.438015,2.42299,2.9305025
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.142305,3.951053,4.046679
