"","sample","tissue","endometriosis","severity","p1555259_at","p222757_s_at","p223519_at","p225662_at","p225665_at","p238613_at","MAP3K20"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.479352,6.604245,9.681292,9.782999,11.4371,6.094384,8.346562
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.49236,5.70845,9.411725,9.314396,11.310298,7.61554,8.14212816666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.486811,8.026567,10.365089,9.738094,12.19056,7.276698,9.01396983333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.855021,6.614516,8.586093,8.612096,10.858082,6.907459,7.9055445
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.364933,6.035476,10.848551,11.202292,12.237251,8.377516,9.17766983333333
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.914211,5.137513,8.802466,8.82061,10.508342,5.485082,7.444704
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.144833,6.158476,9.023322,7.688959,10.121182,4.819828,7.3261
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.507155,7.829565,10.179587,11.23589,12.438571,8.444298,9.60584433333333
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.850832,6.754839,10.781581,9.689492,11.770922,7.247806,8.84924533333333
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.071062,6.531097,8.170266,8.207433,10.258675,5.406578,7.1075185
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.678771,6.812251,11.04919,11.186669,12.263399,8.002706,9.33216433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.735009,6.665045,10.424488,10.441074,11.500832,7.066995,8.80557383333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.228934,6.592239,7.537256,8.564445,10.121182,5.406578,7.57510566666667
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.685324,7.010046,11.422764,11.036656,12.43499,7.501753,9.34858883333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.65626,7.416118,10.57465,10.948538,11.98304,7.242146,9.136792
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.559249,7.357934,10.084027,9.713381,10.888711,6.391572,8.49914566666667
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.382627,7.936919,9.309033,9.08272,10.506427,5.081123,8.04980816666667
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.378778,6.185883,9.195321,8.936066,10.411447,6.058541,7.861006
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.717305,5.996992,8.969954,9.423068,10.740089,6.110784,7.82636533333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",4.887687,6.033841,7.55779,9.963109,9.491205,6.029925,7.3272595
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.625565,6.639067,7.582092,10.855409,10.415481,7.659821,8.1295725
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.729899,4.794689,7.268753,9.773931,9.679079,6.622398,6.97812483333333
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",5.169875,7.265727,6.413753,10.373746,10.158004,5.441314,7.47040316666667
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",4.378925,6.048878,5.41837,9.781616,9.741342,6.060354,6.90491416666667
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",3.729899,4.025703,6.568874,9.066193,9.772284,4.36174,6.2541155
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.678931,4.103411,6.423912,9.378903,10.292971,4.710764,6.59814866666667
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",3.892369,4.821599,5.354499,9.537542,10.112962,4.825903,6.42414566666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.074424,5.645731,8.9997,10.813782,10.953277,6.99667,8.08059733333333
