"","sample","tissue","endometriosis","severity","p204678_s_at","p204679_at","KCNK1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.634607,10.497673,8.56614
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.276768,9.904066,8.090417
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.281499,8.057727,7.669613
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.780048,11.047186,9.913617
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.226439,8.671156,7.4487975
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.080553,10.912627,9.99659
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.192726,9.904066,9.548396
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.455752,9.314324,7.385038
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.848906,8.134885,7.4918955
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.401815,10.867397,9.634606
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.199937,8.10088,7.1504085
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.733147,9.893643,8.313395
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.353251,10.518247,9.435749
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.199937,9.491953,7.845945
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.700054,9.319762,8.009908
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.06481,10.562624,9.813717
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.027917,11.167087,10.097502
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.353251,11.07913,9.7161905
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.929151,11.075651,10.002401
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.039524,11.138899,9.5892115
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.054337,9.356004,7.7051705
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.908248,10.531651,9.2199495
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.649278,9.905606,8.277442
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.539096,9.716321,8.1277085
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",6.962879,10.060119,8.511499
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",5.828,9.130374,7.479187
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",4.780348,6.618731,5.6995395
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",6.246602,9.323815,7.7852085
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.6638,10.492833,9.0783165
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.923623,7.831997,6.37781
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.732586,7.680947,6.7067665
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.394476,9.740903,8.0676895
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",6.044252,7.05792,6.551086
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",5.524157,7.762326,6.6432415
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.515179,10.634438,9.0748085
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.345297,9.933363,8.63933
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.780348,7.718577,6.2494625
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.896066,10.955143,9.4256045
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",4.646015,8.182676,6.4143455
