"","sample","tissue","endometriosis","severity","p204872_at","p216997_x_at","p233575_s_at","TLE4"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.415089,6.638828,5.024616,7.02617766666667
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.730293,5.989334,5.119468,6.61303166666667
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.571226,4.428713,3.700303,5.56674733333333
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.002391,5.881184,4.226334,6.03663633333333
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.709803,6.549933,5.581893,6.94720966666667
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.850302,5.781947,4.448094,6.026781
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",6.788355,4.428713,3.394036,4.870368
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.888506,5.190383,4.49615,6.19167966666667
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.249837,7.474645,6.015095,7.579859
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.869258,4.972851,3.5751,5.472403
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.496757,7.580685,6.184631,7.75402433333333
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.683336,6.360412,4.455569,6.49977233333333
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.711401,4.511921,4.624174,5.615832
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.989301,7.187476,5.707993,7.29492333333333
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.86439,6.149752,4.694315,6.56948566666667
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.731717,6.654,4.831284,6.73900033333333
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.064811,4.464627,4.30694,5.612126
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.064946,5.820584,4.849443,6.244991
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.372764,5.823546,4.684422,6.29357733333333
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.508824,4.77154,3.394862,5.55840866666667
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.203987,4.038531,3.249418,5.16397866666667
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.013865,4.469353,3.249418,5.244212
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.506691,4.055783,2.507985,4.690153
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.783532,4.015491,3.249418,5.016147
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.776037,4.198506,3.084126,5.01955633333333
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.315657,4.055783,2.264171,4.878537
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.317179,4.198506,3.225726,4.91380366666667
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.483062,4.629917,3.394036,5.50233833333333
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.378819,4.055783,2.476406,5.30366933333333
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.618833,4.198506,3.308907,5.37541533333333
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.290218,3.95742,3.225726,5.157788
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",9.459124,5.048727,3.396158,5.968003
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.051142,3.95742,3.225726,4.74476266666667
"34","GSM1256686","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.641717,4.428713,3.528542,5.19965733333333
"35","GSM1256687","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.237951,4.613929,3.249418,5.70043266666667
"36","GSM1256688","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.900504,4.744061,3.394036,5.34620033333333
"37","GSM1256689","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.574763,4.198506,3.237761,5.33701
"38","GSM1256690","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.859793,5.270518,3.10077,5.74369366666667
"39","GSM1256691","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.730293,4.211335,4.241196,5.727608
"40","GSM1256692","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.781077,4.17157,3.12492,5.02585566666667
"41","GSM1256693","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.744492,4.245238,2.774106,5.254612
"42","GSM1256694","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.176635,4.055783,2.68959,4.64066933333333
"43","GSM1256695","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.730293,4.055783,3.523576,5.43655066666667
"44","GSM1256696","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.325748,4.814753,3.249418,5.79663966666667
"45","GSM1256697","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.813705,4.337869,3.383647,5.178407
"46","GSM1256698","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",8.402638,4.597374,3.394036,5.46468266666667
"47","GSM1256699","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",7.504582,4.272707,3.384282,5.053857
"48","GSM1256700","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.1044,3.539222,3.225726,4.95644933333333
"49","GSM1256701","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.369314,5.114866,3.383907,5.62269566666667
"50","GSM1256702","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.850229,4.055783,3.249418,5.05181
"51","GSM1256703","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.372969,4.428713,3.249418,5.35036666666667
"52","GSM1256704","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.081748,4.509271,2.264171,4.95173
"53","GSM1256705","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",7.943724,4.084101,3.225726,5.084517
"54","GSM1256706","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.204667,5.197822,3.295377,5.232622
"55","GSM1256707","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.19741,4.055783,3.249418,5.50087033333333
"56","GSM1256708","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.788692,4.645262,3.17494,5.536298
"57","GSM1256709","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.252309,4.055783,2.815017,5.04103633333333
"58","GSM1256710","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.31649,3.491393,3.225726,4.67786966666667
"59","GSM1256711","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.623046,4.776466,3.383907,5.594473
"60","GSM1256712","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.754676,4.707354,3.249418,5.57048266666667
"61","GSM1256713","Early Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.751727,5.608991,3.609465,5.990061
"62","GSM1256714","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.526286,3.958068,3.225726,5.23669333333333
"63","GSM1256715","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.848348,5.741052,3.982229,6.190543
"64","GSM1256716","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.979713,3.95742,3.438176,5.45843633333333
"65","GSM1256717","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.162692,6.927314,4.881538,6.99051466666667
"66","GSM1256718","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",7.919119,4.544609,3.462545,5.30875766666667
"67","GSM1256719","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.416559,5.00401,3.383907,5.601492
"68","GSM1256720","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.844698,4.473049,3.394036,5.90392766666667
"69","GSM1256721","Early Secretory Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",10.065446,4.561523,3.362389,5.99645266666667
"70","GSM1256722","Proliferative Endometrial tissue","Non-Endometriosis","No Uterine Pelvic Pathology",9.319288,6.668891,4.209126,6.732435
