"","sample","tissue","endometriosis","severity","p202806_at","p217025_s_at","DBN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.21569,8.118654,8.167172
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.758856,8.550378,8.654617
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.683574,8.646559,8.6650665
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.197644,9.190733,9.1941885
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.659293,10.118217,9.888755
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.854994,9.121527,9.4882605
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",7.414964,8.698988,8.056976
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.301691,9.412957,9.857324
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.020933,8.592422,9.3066775
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.108198,8.7406,8.924399
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.235168,9.857165,10.5461665
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.192037,9.631728,9.9118825
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.639656,7.044828,7.842242
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.525692,10.080258,10.302975
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.971525,8.358917,8.665221
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.144646,8.779022,8.961834
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.805904,8.374819,8.5903615
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.906099,8.88594,9.3960195
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.869455,9.08698,9.4782175
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.395644,9.627994,10.511819
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",10.952558,8.741806,9.847182
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.414542,9.756284,10.585413
"23","GSM1256675","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.573667,9.575774,10.5747205
"24","GSM1256676","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",11.957439,10.59294,11.2751895
"25","GSM1256677","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",11.947731,10.441267,11.194499
"26","GSM1256678","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.976398,10.432689,11.2045435
"27","GSM1256679","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",12.833597,10.959741,11.896669
"28","GSM1256680","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",11.998715,10.612248,11.3054815
"29","GSM1256681","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",10.81252,9.045862,9.929191
"30","GSM1256682","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.673515,10.984,11.8287575
"31","GSM1256683","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.312801,10.68537,11.4990855
"32","GSM1256684","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.262445,10.916763,11.589604
"33","GSM1256685","Proliferative Endometrial tissue","Endometriosis","Minimal/Mild",12.892465,11.489738,12.1911015
