"","sample","tissue","endometriosis","severity","p37652_at","p202624_s_at","CABIN1"
"1","GSM1256653","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.65814,6.690759,7.6744495
"2","GSM1256654","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.345481,6.608091,7.476786
"3","GSM1256655","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.418899,7.05075,7.7348245
"4","GSM1256656","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.961742,6.928167,7.9449545
"5","GSM1256657","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.452547,7.62334,8.5379435
"6","GSM1256658","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.974402,7.408515,8.1914585
"7","GSM1256659","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.686689,7.676005,8.181347
"8","GSM1256660","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.67171,6.409125,7.5404175
"9","GSM1256661","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.985608,6.863294,7.924451
"10","GSM1256662","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.883904,6.984019,7.9339615
"11","GSM1256663","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.883948,6.881366,7.882657
"12","GSM1256664","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.785143,6.859451,7.822297
"13","GSM1256665","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.628759,7.408621,8.51869
"14","GSM1256666","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",9.17722,6.910753,8.0439865
"15","GSM1256667","Early Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.210872,7.065851,8.1383615
"16","GSM1256668","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.424529,7.275076,8.3498025
"17","GSM1256669","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",9.04779,7.0988,8.073295
"18","GSM1256670","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.635752,6.863294,7.749523
"19","GSM1256671","Mid-Secretory Endometrial tissue","Endometriosis","Moderate/Severe",8.517374,6.469667,7.4935205
"20","GSM1256672","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.703087,7.26557,7.9843285
"21","GSM1256673","Proliferative Endometrial tissue","Endometriosis","Moderate/Severe",8.63538,6.968639,7.8020095
"22","GSM1256674","Mid-Secretory Endometrial tissue","Endometriosis","Minimal/Mild",8.781848,7.428146,8.104997
